Timestamp,Are you employed?,What is your job?,How many people are in your house?,What is your personal income?,What is your total household income?,What categories of income do you currently have?,If u said other please mention what it was,Do you have a vehicle/s?,Do you live alone and cover your own expenses?,"If you live alone, How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly","If you live alone, How much do you spend on basic needs monthly?",If you live with family How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly,If you live with family How much do you spend on basic needs monthly?,Do you have any issues in handling your income and expenses? If so please mention. ,How much do you save monthly?,How much do you want to save monthly ( could be different from what you actually save),Age,savings_ratio,financial_priority,detailed_advice,optimal_saving  ,"optimal_saving,suitable_investment_type,suitable_equity_allocation"
30/12/2024 12:37:56,1,Deputy General Manager (Construction),5,160000,"400,000","Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,No,,"90,000",10 000,"160,000",No,65000,200 000,33,0.40625,General Finance,Consult a financial advisor,50000,"110000,Dividend Stocks,60%"
27/12/2024 20:51:36,0,retail store,3,130000,320000,"Salary, Investments, Commission",pension,Yes,No,,"90,000","12,000",300000,No,90000,"90,000",49,0.6923076923076923,General Finance,Consult a financial advisor,13000,"85000,Retail Sector Funds,55%"
30/12/2024 12:59:20,1,Repairer,3,65000,"250,000","Investments (fixed deposits, stocks etc), Salary",pension,Yes,No,,,7000,130000,No,40000,"80,000",27,0.6153846153846154,General Finance,Consult a financial advisor,120000,"50000,Healthcare Sector ETFs,40%"
27/12/2024 20:57:38,0,small grocery shop,4,65000,180000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,No,,"90,000","10,000",160000,No,5000,"70,000",20,0.076923077,General Finance,Consult a financial advisor,100000,"30000,Education Savings Plan,25%"
30/12/2024 12:30:37,0,Electrical Engineering Tech,3,170000,230000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,No,,"90,000","18,000","160,000",No,150000,85000,50,0.8823529411764706,General Finance,Consult a financial advisor,41600,"180000,Industrial Sector Stocks,70%"
4/1/2025 22:30,1,Stock Broker,3,60000,250000,"Salary, Freelancing",pension,Yes,No,,"90,000",28 000,70 000,No,5000,"60,000",48,0.083333333,General Finance,Consult a financial advisor,5000,"220000,Venture Capital,80%"
30/12/2024 12:18:32,0,Key Account Manager,2,160000,1800000,"Freelancing, Brand endorsements",pension,Yes,No,,"90,000",12000,180 000,No,500000,"70,000",39,3.125,General Finance,Consult a financial advisor,35000,"75000,Blue Chip Stocks,50%"
30/12/2024 12:26:16,1,,3,170000,270000,"Salary, Investments, Self-owned business",pension,Yes,No,,"90,000",100000,120000,No,70000,"90,000",38,0.4117647058823529,General Finance,Consult a financial advisor,65000,"180000,Corporate Bonds,65%"
30/12/2024 12:30:37,0,Varnisher,4,180000,50 000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,No,,"90,000",70000,180 000,No,45000,"20,000",59,0.25,General Finance,Consult a financial advisor,20000,"65000,Entertainment Industry Funds,30%"
10/1/2025 19:40,1,Senior insurance Executive,3,120000,"200,000","Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,No,,"90,000",10 000,90 000,No,70000,50 000,39,0.5833333333333334,General Finance,Consult a financial advisor,55000,"90000,Renewable Energy ETFs,60%"
30/12/2024 12:30:37,0,Director engineering,3,140000,240 000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Event betting cuts,Yes,No,,"90,000","40,000","180,000",No,50000,60000,24,0.35714285714285715,General Finance,Consult a financial advisor,400000,"110000,Global Index Funds,70%"
30/12/2024 12:48:25,1,Retired,4,140000,170 000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,No,Yes,,"90,000",18000,"160,000",No,40000,80 000,51,0.2857142857142857,General Finance,Consult a financial advisor,40000,"55000,Municipal Bonds,35%"
30/12/2024 12:37:56,0,retail store,3,180000,"180,000","Salary, Commission",pension,Yes,No,,"90,000",110000,"90,000",No,5000,90 000,40,0.027777777777777776,General Finance,Consult a financial advisor,47000,"120000,AI & Robotics Funds,75%"
4/1/2025 22:30,1,Designer,2,170000,"220,000","Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,No,,,30000,150 000,yes,50000,"80,000",28,0.29411764705882354,General Finance,Consult a financial advisor,15000,"250000,Private Equity,85%"
30/12/2024 12:37:56,0,retail store,3,160000,210000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,No,No,,,10 000,150000,No,40000,60000,30,0.25,General Finance,Consult a financial advisor,250000,"85000,Consumer Goods Stocks,55%"
10/1/2025 19:40,1,Director engineering,4,15000,240 000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,No,,,40 000 ,75 000,No,5000,"60,000",41,0.3333333333333333,General Finance,Consult a financial advisor,18000,"90000,Pharmaceutical ETFs,60%"
30/12/2024 12:30:37,0,Draftsperson,3,15000,430000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,No,,"90,000",12000,200000,No,200000,90 000,28,13.333333333333334,General Finance,Consult a financial advisor,60000,"70000,Telecom Sector Funds,45%"
27/12/2024 20:51:36,1,Financial Advisor,3,100000,260000,"Freelancing, Brand endorsements",pension,Yes,No,,"90,000",10 000,170000,No,90000,"90,000",55,0.9,General Finance,Consult a financial advisor,25000,"180000,Cryptocurrency,90%"
30/12/2024 12:23:07,0,Supervisor,2,140000,240 000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,No,,"90,000",30 000,"60,000",No,60000,"50,000",51,0.42857142857142855,General Finance,Consult a financial advisor,60000,"45000,Short-Term Treasuries,25%"
30/12/2024 12:26:16,1,Internal Auditor,2,160000,190000,"Salary, Pension",pension,Yes,No,,"90,000","10,000","130,000",No,150000,"8,000",23,0.9375,General Finance,Consult a financial advisor,25000,"180000,FinTech Innovation Funds,80%"
29/12/2024 17:15:36,1,,3,15000,30000,"Freelancing, Brand endorsements",pension,Yes,No,,"90,000",13000,120000,No,60000,"90,000",29,4,General Finance,Consult a financial advisor,85000,"65000,Agricultural Commodities,40%"
30/12/2024 12:18:32,1,Material technician,3,200000,"220,000","Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,20 000,15000,170000,No,25000,85000,41,0.125,General Finance,Consult a financial advisor,300000,"220000,Defense Sector Stocks,75%"
30/12/2024 12:37:56,0,Deputy Shop Manager,3,110000,210000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,No,,"90,000",13000,150000,No,55000,80 000,46,0.5,General Finance,Consult a financial advisor,40000,"30000,Peer-to-Peer Lending,30%"
27/12/2024 20:57:38,0,,4,140000,"180,000","Freelancing, Brand endorsements",pension,Yes,No,8000,"90,000",10 000,240000,No,0,90 000,29,0,General Finance,Consult a financial advisor,40000,"90000,Media & Entertainment ETFs,50%"
27/12/2024 11:14:50,1,small grocery shop,4,15000,75000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,5000,60000,yes,10000,20000,59,0.6666666666666666,General Finance,Consult a financial advisor,90000,"120000,Semiconductor Funds,70%"
30/12/2024 12:30:37,0,Internal Auditor,4,1500000,300 000,"Salary, Pension",,No,No,,,"15,000",150 000,No,5000,"75,000",25,0.003333333,General Finance,Consult a financial advisor,40000,"85000,Utility Sector Stocks,45%"
30/12/2024 12:18:32,0,,2,140000,80 000,"Salary, Investments, Self-owned business",pension,Yes,No,,"90,000",10 000,190000,No,500000,30000,34,3.5714285714285716,General Finance,Consult a financial advisor,90000,"180000,Emerging Markets ETFs,85%"
30/12/2024 12:34:46,0,Warehouse Manager,4,1500000,130 000,"Investments (fixed deposits, stocks etc), Salary",pension,No,No,,"90,000",10 000,130000,No,35000,"40,000",36,0.023333333333333334,General Finance,Consult a financial advisor,50000,"45000,CDs & Money Market,20%"
30/12/2024 12:44:07,1,Window Dresser,4,160000,320000,"Freelancing, Brand endorsements",pension,Yes,No,,"90,000","12,000",150000,no,70000,"90,000",39,0.4375,General Finance,Consult a financial advisor,300000,"90000,Automotive Industry Funds,55%"
30/12/2024 12:48:25,0,merchandiser,3,130000,1800000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,"90,000",12000,150 000,No,45000,65000,22,0.34615384615384615,General Finance,Consult a financial advisor,50000,"220000,Space Exploration ETFs,90%"
30/12/2024 12:18:32,0,Warehouse Manager,2,1500000,"180,000","Salary, Self owned unofficial business (car rentals, house rentals etc)",,No,No,,"90,000",10 000,160000,No,5000,65 000,36,0.003333333,General Finance,Consult a financial advisor,70000,"55000,Sustainable Energy Bonds,35%"
4/1/2025 23:53,1,Accounts assistant,4,70000,170000,Salary,,No,No,,,8000,100000,Yes,40000,40000,22,0.5714285714285714,General Finance,Consult a financial advisor,30000,"180000,Biotech Startups,80%"
4/1/2025 22:47,1,Forman (Government),2,70000,"160,000","Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,No,,"90,000","22,000",70 000,No,45000,60000,29,0.6428571428571429,General Finance,Consult a financial advisor,25000,"70000,REITs & Property Funds,50%"
30/12/2024 12:44:07,0,Finance Manager,4,70000,"200,000","Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,No,,"90,000","12,000","150,000",No,50000,75000,59,0.7142857142857143,General Finance,Consult a financial advisor,15000,"85000,Gold & Precious Metals,40%"
30/12/2024 13:03:19,0,E-Commerce Manager,3,150000,"120,000","Salary, Investments",,Yes,No,,"90,000",14000,170000,No,47000,300 000,27,0.31333333333333335,General Finance,Consult a financial advisor,60000,"220000,Cloud Computing Stocks,75%"
10/1/2025 19:40,1,Electrical Engineering Tech,2,200000,230000,"Salary, Investments, Rental income",pension,Yes,No,,"90,000",18000,150 000,No,50000,40000,52,0.25,General Finance,Consult a financial advisor,15000,"45000,Insurance Products,25%"
10/1/2025 19:40,1,Business Analyst,5,65000,140 000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,No,No,,"90,000","18,000",85 000,No,40000,"70,000",43,0.6153846153846154,General Finance,Consult a financial advisor,70000,"90000,Cybersecurity ETFs,60%"
4/1/2025 22:47,0,senior graduate teacher,5,15000,120000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,"90,000",13000,"160,000",No,45000,75000,59,3,General Finance,Consult a financial advisor,16000,"180000,Metaverse Assets,85%"
30/12/2024 13:03:19,1,retail store,4,15000,"180,000","Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,"90,000",10 000,150000,No,50000,200 000,32,3.3333333333333335,General Finance,Consult a financial advisor,90000,"30000,Government Bonds,20%"
4/1/2025 22:47,0,Structural design engineer,5,70000,240 000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,No,,"90,000",15000,"75,000",No,45000,70000,32,0.6428571428571429,General Finance,Consult a financial advisor,20000,"120000,E-commerce Platforms,70%"
30/12/2024 12:48:25,0,Teacher,4,125000,260000,"Salary, Investments, Self-owned business",,Yes,No,,"90,000",12 000,90 000,No,50000,90 000,55,0.4,General Finance,Consult a financial advisor,70000,"75000,Infrastructure Funds,50%"
10/1/2025 19:40,0,Internal Auditor,3,160000,500000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,No,,"90,000",14000,"150,000",No,60000,85000,32,0.375,General Finance,Consult a financial advisor,15000,"220000,Blockchain Technology,90%"
4/1/2025 22:47,0,University Lecturer,4,120000,40 000,"Freelancing, Brand endorsements",pension,Yes,No,,15000,"18,000",,No,40000,75000,28,0.3333333333333333,General Finance,Consult a financial advisor,85000,"55000,Education Endowment Plan,30%"
30/12/2024 13:03:19,0,Draftsperson,4,160000,210000,"Salary, Freelancing",pension,Yes,No,,,15 000,125000,No,5000,"250,000",53,0.03125,General Finance,Consult a financial advisor,5000,"90000,Healthcare REITs,55%"
30/12/2024 12:23:07,1,Mechatronics Technician,2,120000,200 000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,No,,"90,000",100000,150000,No,5000,"90,000",49,0.041666666666666664,General Finance,Consult a financial advisor,70000,"180000,Quantum Computing Funds,80%"
27/12/2024 20:51:36,0,Procurement Specialist,2,130000,240 000,Freelancing,pension,Yes,No,,"90,000","10,000",180000,No,70000,"90,000",52,0.5384615384615384,General Finance,Consult a financial advisor,300000,"45000,Lifestyle Inflation Buffer,25%"
10/1/2025 19:40,0,,2,120000,"250,000","Freelancing, Brand endorsements",,Yes,No,,"90,000",10 000,75000,No,50000,"8,000",30,0.4166666666666667,General Finance,Consult a financial advisor,50000,"120000,Shipping & Logistics ETFs,65%"
4/1/2025 23:06,1,Dancer,6,180000,1800000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,No,,"90,000","15,000","180,000",No,50000,65000,44,0.2777777777777778,General Finance,Consult a financial advisor,90000,"75000,Consumer Discretionary,45%"
14/12/2024 15:47:39,0,Technical officer,3,160000,"35,000",Salary,,Yes,No,,"90,000",50000,150000,No,40000,"30,000",49,0.25,General Finance,Consult a financial advisor,15000,"220000,Advanced Materials,85%"
30/12/2024 12:26:16,1,storekeeper,3,160000,240 000,Salary,pension,Yes,No,,"90,000",13000,,No,50000,50 000,20,0.3125,General Finance,Consult a financial advisor,60000,"30000,Emergency Cash Reserve,15%"
30/12/2024 12:59:20,0,Sound Engineer,4,140000,"180,000","Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,No,,"90,000",13000,140000,No,5000,65000,24,0.035714286,General Finance,Consult a financial advisor,15000,"90000,Gaming & Esports ETFs,60%"
10/1/2025 19:43,0,Bookmaker,2,60000,260000,"Salary, Investments, Self-owned business",pension,Yes,No,,"90,000",12 000,"150,000",No,90000,80 000,43,1.5,General Finance,Consult a financial advisor,60000,"180000,Neurotech Startups,75%"
29/12/2024 17:00:56,0,,2,150000,190000,"Freelancing, Brand endorsements",pension,Yes,No,,"90,000",10 000,150000,No,50000,300000,36,0.3333333333333333,General Finance,Consult a financial advisor,30000,"55000,Retirement Annuities,35%"
30/12/2024 12:34:46,0,Technologist,4,130000,"160,000","Investments (fixed deposits, stocks etc), Salary",pension,Yes,No,,"90,000",50 000,150000,No,35000,"8,000",36,0.2692307692307692,General Finance,Consult a financial advisor,85000,"120000,Drone Technology Funds,70%"
30/12/2024 12:34:46,1,Junior Sales Representative,5,160000,"200,000","Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,"90,000",15000,85000,No,5000,"60,000",25,0.03125,General Finance,Consult a financial advisor,16000,"75000,Food & Beverage Stocks,50%"
29/12/2024 17:12:56,0,software engineer,3,200000,150000,"Salary, Pension",pension,Yes,No,,"90,000","15,000",120000,No,35000,60 000,22,0.175,General Finance,Consult a financial advisor,20000,"220000,AI Healthcare Solutions,90%"
30/12/2024 12:34:46,0,Mechanical Engineer,2,170000,150 000,"Salary, Commission",pension,Yes,No,,"90,000",18 000,140000,No,65000,75000,35,0.38235294117647056,General Finance,Consult a financial advisor,60000,"45000,Short-Term Corporate Debt,25%"
30/12/2024 12:23:07,0,Financial Advisor,4,15000,160000,"Freelancing, Brand endorsements",pension,Yes,No,,"90,000",10 000,"100,000",No,50000,"60,000",47,3.3333333333333335,General Finance,Consult a financial advisor,16000,"90000,EV Charging Infrastructure,55%"
30/12/2024 12:30:37,1,Teacher,2,130000,170000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,"90,000",20000,"160,000",No,55000,35 000,24,0.4230769230769231,General Finance,Consult a financial advisor,90000,"180000,Genetic Engineering,80%"
30/12/2024 12:34:46,0,small grocery shop,2,130000,150 000,"Salary, Investments, Self-owned business",pension,Yes,No,,"90,000",10 000,150 000,No,400000,500000,56,3.076923076923077,General Finance,Consult a financial advisor,20000,"30000,Disability Insurance Fund,20%"
30/12/2024 12:48:25,0,Housewife,2,85000,"280,000","Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,No,No,,"90,000","18,000",180 000,No,40000,"60,000",49,0.47058823529411764,General Finance,Consult a financial advisor,85000,"120000,Smart City ETFs,65%"
30/12/2024 12:48:25,0,Environment specialist,3,150000,160 000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,No,No,,"90,000","18,000",140 000,No,47000,70 000,38,0.31333333333333335,General Finance,Consult a financial advisor,5000,"75000,Textile Industry Funds,45%"
13/12/2024 15:28:23,0,Retired,6,380000,"130,000","Salary, Pension",,Yes,No,"12,000","90,000",10 000,85 000,yes,15000,70000,55,0.039473684210526314,General Finance,Consult a financial advisor,70000,"220000,Nanotechnology,85%"
,0,Cashier,1,40000,40 000,Salary,,No,Yes,6 000,25 000,,,Yes,5000,15 000,49,0.125,General Finance,Consult a financial advisor,50000,"45000,Travel Savings Plan,30%"
10/1/2025 20:03,0,Sales executive,5,15000,"220,000","Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,No,8000,"90,000",15000,"160,000",No,25000,250000,57,1.6666666666666667,General Finance,Consult a financial advisor,90000,"90000,Solar Energy ETFs,60%"
4/1/2025 23:06,0,Designer,3,140000,80 000,Salary,pension,Yes,No,,"90,000",12 000,"150,000",No,5000,90 000,45,0.035714286,General Finance,Consult a financial advisor,20000,"180000,Marine Tech Startups,75%"
4/1/2025 23:39,1,Procurement Specialist,2,130000,190000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,8000,"90,000",50 000,180 000,No,60000,65000,36,0.46153846153846156,General Finance,Consult a financial advisor,70000,"55000,Longevity Annuities,35%"
,0,Deputy General Manager (Construction),3,80000,"220,000","Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,8000,40000,12000,"220,000",No,25000,60000,59,0.3125,General Finance,Consult a financial advisor,20000,"120000,3D Printing Funds,70%"
30/12/2024 12:48:25,0,Key Account Manager,3,140000,210000,"Salary, Commission, Investments",,Yes,No,,"90,000",10 000,"150,000",No,50000,"70,000",30,0.35714285714285715,General Finance,Consult a financial advisor,70000,"75000,Fashion Industry Stocks,50%"
30/12/2024 12:59:20,1,Civil Engineer,2,150000,"200,000","Salary, Investments, Self-owned business",pension,Yes,No,,"90,000",10 000,180 000,No,5000,300000,43,0.033333333,General Finance,Consult a financial advisor,20000,"220000,Autonomous Vehicles,90%"
30/12/2024 12:59:20,0,Technical officer,4,140000,180 000,"Salary, Investments, Rental income",pension,Yes,No,,,10 000,"180,000",No,120000,70000,23,0.8571428571428571,General Finance,Consult a financial advisor,50000,"45000,Home Renovation Fund,25%"
4/1/2025 22:47,0,E-Commerce Specialist,2,180000,"300,000","Salary, Investments, Rental income",pension,Yes,No,,"90,000","18,000","140,000",No,60000,"70,000",24,0.3333333333333333,General Finance,Consult a financial advisor,20000,"90000,Battery Technology ETFs,55%"
10/1/2025 19:40,0,Tyre Fitter,4,180000,"240,000","Salary, Investments, Freelancing",,Yes,No,,"90,000",30000,90000,No,5000,"8,000",27,0.027777777777777776,General Finance,Consult a financial advisor,50000,"180000,Augmented Reality,80%"
29/12/2024 17:00:56,0,Vehicle Body Repairer,4,1500000,"260,000","Freelancing, Brand endorsements",pension,Yes,No,,"90,000",10 000,"140,000",No,60000,25000,46,0.04,General Finance,Consult a financial advisor,20000,"30000,Pet Care Savings,15%"
30/12/2024 12:44:07,0,retail store,6,125000,160000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,8000,"90,000",15000,180000,No,47000,"25,000",20,0.376,General Finance,Consult a financial advisor,70000,"120000,Wind Energy ETFs,65%"
30/12/2024 12:23:07,0,Workshop manager,3,140000,250000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,No,8000,"90,000",12 000,160000,No,50000,"85,000",39,0.35714285714285715,General Finance,Consult a financial advisor,20000,"75000,Furniture Sector Funds,45%"
5/1/2025 0:09,0,Postmaster,5,130000,170000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,No,,"90,000","30,000","180,000",No,35000,200 000,48,0.2692307692307692,General Finance,Consult a financial advisor,50000,"220000,Drone Delivery Networks,85%"
30/12/2024 12:48:25,1,Draftsman,2,130000,"250,000","Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,No,,"90,000",10 000,80 000,No,5000,"80,000",51,0.038461538461538464,General Finance,Consult a financial advisor,20000,"45000,Hobby Development Fund,30%"
10/1/2025 19:52,0,Compliance Specialist,3,200000,1800000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,No,No,,"90,000","18,000",140 000,No,40000,90 000,26,0.2,General Finance,Consult a financial advisor,50000,"90000,Hydrogen Energy ETFs,60%"
10/1/2025 19:40,1,Draftsman,3,200000,190000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,No,No,,"90,000",10 000,"130,000",No,35000,90 000,59,0.175,General Finance,Consult a financial advisor,20000,"180000,Brain-Computer Interfaces,75%"
30/12/2024 12:30:37,1,Tyre Fitter,1,130000,"180,000","Investments (fixed deposits, stocks etc), Salary",pension,Yes,No,,"90,000","10,000",180 000,No,50000,"200,000",57,0.38461538461538464,General Finance,Consult a financial advisor,50000,"55000,Family Legacy Trust,35%"
4/1/2025 23:53,0,IT Manager,2,200000,280000,Salary,,Yes,No,,,22000,75000,No,300000,200 000,20,1.5,General Finance,Consult a financial advisor,20000,"120000,Vertical Farming Funds,70%"
30/12/2024 12:44:07,0,none,1,1000000,240000,"Salary, Self-owned business",pension,No,No,,"90,000",10 000,"75,000",No,50000,65 000,51,0.05,General Finance,Consult a financial advisor,50000,"75000,Sports Industry Stocks,50%"
30/12/2024 12:44:07,0,senior graduate teacher,4,140000,"150,000","Salary, Commission, Investments",pension,Yes,No,,"90,000",12 000,140000,No,47000,"70,000",41,0.3357142857142857,General Finance,Consult a financial advisor,20000,"220000,Hyperloop Development,90%"
27/12/2024 20:51:36,0,retail store,3,170000,"250,000","Freelancing, Brand endorsements",pension,Yes,No,,"90,000",10 000,80000,No,70000,"90,000",35,0.4117647058823529,General Finance,Consult a financial advisor,50000,"45000,Charity Allocation Fund,25%"
,0,Stagehand,3,15000,40 000,Salary,,Yes,No,,25 000,15 000,"120,000",No,30000,70000,34,2,General Finance,Consult a financial advisor,20000,"90000,Tidal Energy ETFs,55%"
30/12/2024 13:03:19,1,merchandiser,2,140000,180 000,"Salary, Investments, Self-owned business",pension,Yes,No,,,"15,000","160,000",No,50000,"25,000",41,0.35714285714285715,General Finance,Consult a financial advisor,50000,"180000,Exoskeleton Tech,80%"
4/1/2025 23:46,0,Chemical Lab Technician,4,180000,"40,000","Salary, Commission, Investments",,No,Yes,"8,000","90,000",18000,140 000,No,15000,"8,000",43,0.083333333,General Finance,Consult a financial advisor,20000,"30000,Language Learning Fund,20%"
30/12/2024 12:48:25,1,lawyer,3,130000,1800000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,"90,000",22 000,"140,000",yes,45000,"60,000",43,0.34615384615384615,General Finance,Consult a financial advisor,50000,"120000,Geothermal Energy ETFs,65%"
30/12/2024 13:03:19,1,Insurance Executive,4,130000,140 000,"Salary, Pension",pension,Yes,No,,"90,000","12,000",150000,No,30000,50 000,31,0.23076923076923078,General Finance,Consult a financial advisor,30000,"75000,Luxury Goods Stocks,45%"
10/1/2025 19:40,0,Senior Civil Engineer,2,1500000,"400,000","Investments (fixed deposits, stocks etc), Salary",pension,No,No,,"90,000",15000,,No,40000,"200,000",59,0.026666667,General Finance,Consult a financial advisor,40000,
30/12/2024 13:03:19,0,small grocery shop,4,160000,130 000,Salary,,No,No,,"90,000",100000,"140,000",No,60000,"15,000",24,0.375,General Finance,Consult a financial advisor,60000,
10/1/2025 20:03,1,Technologist,3,180000,350000,"Salary, ",pension,Yes,No,,"90,000",12 000,180 000,No,500000,"25,000",52,2.7777777777777777,General Finance,Consult a financial advisor,25000,
