Timestamp,Are you employed?,What is your job?,How many people are in your house?,What is your personal income?,What is your total household income?,What categories of income do you currently have?,If u said other please mention what it was,Do you have a vehicle/s?,Do you live alone and cover your own expenses?,"If you live alone, How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly","If you live alone, How much do you spend on basic needs monthly?",If you live with family How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly,If you live with family How much do you spend on basic needs monthly?,Do you have any issues in handling your income and expenses? If so please mention. ,How much do you save monthly?,How much do you want to save monthly ( could be different from what you actually save),Age,Savings_Ratio,financial_priority,detailed_advice,Unnamed: 21,Risk_proxy_returns,Investment type,Advice 1,Advice 2,Advice 3
30/12/2024 12:37,1,Deputy General Manager (Construction),5,160000,400000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,74000.0,264000.0,No,62000,200 000,33,15.5,General Finance,Consult a financial advisor,,0.183431953,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",Grow emergency savings (3–6 months of expenses).,Buy discounted items as much as possible,Avoid impulsive spending on gadgets; prioritize small emergency funds.
27/12/2024 20:51,1,retail store,3,130000,320000,"Salary, Investments, Commission",pension,Yes,no,,,76000.0,185000.0,No,59000,"90,000",49,18.4375,General Finance,Consult a financial advisor,,0.22605364,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",Save and keep 1–2 years of expenses in cash/cash equivalents for emergencies.,Boost retirement contributions,Free public healthcare: Use government clinics to avoid private hospital costs.
30/12/2024 12:59,1,Repairer,3,65000,250000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,,,16000.0,145000.0,No,89000,"80,000",27,35.6,General Finance,Consult a financial advisor,,0.552795031,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",Grow emergency savings (3–6 months of expenses).,Buy discounted items as much as possible,Avoid impulsive spending on gadgets; prioritize small emergency funds.
27/12/2024 20:57,1,small grocery shop,4,65000,180000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,,,36000.0,141000.0,No,3000,"70,000",20,1.666666667,General Finance,Consult a financial advisor,,0.016949153,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits","Save for short-term goals (e.g., education, relocation).","Start an emergency fund. Aim for 1-3 months of expenses (even LKR 30,000 can prevent borrowing during crises).","Leverage Community Support: NGOs often provide free meals, school supplies, or medical camps."
30/12/2024 12:30,1,Electrical Engineering Tech,3,170000,230000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,69000.0,93000.0,No,68000,85000,50,29.56521739,General Finance,Consult a financial advisor,,0.419753086,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",Boost retirement contributions,Open a low-risk fixed deposit (common in Sri Lankan banks like NSB or commercial banks).,Liquid savings: Keep 6 months’ expenses in a savings account for emergencies.
04/01/2025 22:30,1,Stock Broker,3,60000,250000,"Salary, Freelancing",pension,Yes,no,,,21000.0,122500.0,No,106500,"60,000",48,42.6,General Finance,Consult a financial advisor,,0.742160279,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",Avoid Luxury spending: Resist splurging on cars/property without ROI.,Boost retirement contributions,"Avoid risky investments and save instead (e.g., stock market due to volatility)."
30/12/2024 12:18,1,Key Account Manager,2,160000,1800000,"Freelancing, Brand endorsements",pension,Yes,no,,,159000.0,359000.0,No,1282000,"70,000",39,71.22222222,General Finance,Consult a financial advisor,,2.474903475,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",Automate savings to avoid lifestyle inflation.,"Avoid risky investments and save instead (e.g., stock market due to volatility).",Liquid savings: Keep 6 months’ expenses in a savings account for emergencies.
30/12/2024 12:26,0,,3,170000,270000,"Salary, Investments, Self-owned business",pension,Yes,no,,,32000.0,218000.0,No,20000,"90,000",38,7.407407407,General Finance,Consult a financial advisor,,0.08,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",Grow emergency savings (3–6 months of expenses).,Save to prepay mortgages to reduce liabilities.,"Save to build income diversity (side hustles, freelancing, or overseas jobs)."
30/12/2024 12:30,1,Varnisher,4,180000,230000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,17000.0,151000.0,No,62000,"20,000",59,26.95652174,General Finance,Consult a financial advisor,,0.369047619,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules","Downsize lifestyle (sell unused assets, reduce luxury expenses) and use low risk fd to save.",Save and keep 1–2 years of expenses in cash/cash equivalents for emergencies.,Liquid savings: Keep 6 months’ expenses in a savings account for emergencies.
10/01/2025 19:40,1,Senior insurance Executive,3,120000,200000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,79000.0,112000.0,No,9000,50 000,39,4.5,General Finance,Consult a financial advisor,,0.047120419,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner","Grow a home garden to reduce food costs or collect free seasonal produce (jackfruit, coconuts) from public spaces.",Avoid high-interest debt/ loan sharks (common in informal lending).,"Save to build income diversity (side hustles, freelancing, or overseas jobs)."
30/12/2024 12:30,1,Director engineering,3,140000,240000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Event betting cuts,Yes,no,,,36000.0,156500.0,No,47500,60000,24,19.79166667,General Finance,Consult a financial advisor,,0.246753247,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",Second-hand purchases: Buy refurbished phones/electronics on Kapruka or Facebook Marketplace.,"Save for a degree/ masters (coding, freelancing courses) to boost income long-term.",Start a retirement fund (EPF/ETF) early for compound growth.
30/12/2024 12:48,0,Retired,4,140000,170000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,No,no,,,23000.0,139000.0,No,8000,80 000,51,4.705882353,General Finance,Consult a financial advisor,,0.049382716,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",Stay active to reduce healthcare costs.,Free public healthcare: Use government clinics to avoid private hospital costs.,Save in senior citizen FDs for higher interest rates.
30/12/2024 12:37,1,retail store,3,180000,180000,"Salary, Commission",pension,Yes,no,,,15500.0,121500.0,No,43000,90 000,40,23.88888889,General Finance,Consult a financial advisor,,0.313868613,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",Second-hand purchases: Buy refurbished phones/electronics on Kapruka or Facebook Marketplace.,"Repair, don’t replace: Fix appliances/clothing instead of buying new ones.",Save to prepay mortgages to reduce liabilities.
04/01/2025 22:30,1,Designer,2,170000,220000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,30000.0,113500.0,yes,76500,"80,000",28,34.77272727,General Finance,Consult a financial advisor,,0.533101045,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",Grow emergency savings (3–6 months of expenses).,Buy discounted items as much as possible,Avoid impulsive spending on gadgets; prioritize small emergency funds.
30/12/2024 12:37,1,retail store,3,160000,210000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,No,no,,,54000.0,137500.0,No,18500,60000,30,8.80952381,General Finance,Consult a financial advisor,,0.096605744,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver","Save for marriage, children, or housing.",Avoid high-interest debt/ loan sharks (common in informal lending).,"Save to build income diversity (side hustles, freelancing, or overseas jobs)."
10/01/2025 19:40,1,Director engineering,4,15000,240000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,76000.0,138000.0,No,26000,"60,000",41,10.83333333,General Finance,Consult a financial advisor,,0.121495327,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",Grow emergency savings (3–6 months of expenses).,Save to prepay mortgages to reduce liabilities.,"Save to build income diversity (side hustles, freelancing, or overseas jobs)."
30/12/2024 12:30,1,Draftsperson,3,15000,430000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,,,92000.0,259000.0,No,79000,90 000,28,18.37209302,General Finance,Consult a financial advisor,,0.225071225,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",Grow emergency savings (3–6 months of expenses).,Buy discounted items as much as possible,Avoid impulsive spending on gadgets; prioritize small emergency funds.
27/12/2024 20:51,1,Financial Advisor,3,100000,260000,"Freelancing, Brand endorsements",pension,Yes,no,,,34000.0,130000.0,No,96000,"90,000",55,36.92307692,General Finance,Consult a financial advisor,,0.585365854,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",Boost retirement contributions,Open a low-risk fixed deposit (common in Sri Lankan banks like NSB or commercial banks).,Liquid savings: Keep 6 months’ expenses in a savings account for emergencies.
30/12/2024 12:23,1,Supervisor,2,140000,240000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,,,54000.0,122000.0,No,64000,"50,000",51,26.66666667,General Finance,Consult a financial advisor,,0.363636364,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",Boost retirement contributions,Open a low-risk fixed deposit (common in Sri Lankan banks like NSB or commercial banks).,Liquid savings: Keep 6 months’ expenses in a savings account for emergencies.
30/12/2024 12:26,1,Internal Auditor,2,160000,190000,"Salary, Pension",pension,Yes,no,,,43000.0,59000.0,No,88000,"8,000",23,46.31578947,General Finance,Consult a financial advisor,,0.862745098,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules","Save for a degree/ masters (coding, freelancing courses) to boost income long-term.",Avoid impulsive spending on gadgets; prioritize small emergency funds.,Start a retirement fund (EPF/ETF) early for compound growth.
29/12/2024 17:15,0,,3,15000,30000,"Freelancing, Brand endorsements",pension,Yes,no,,,6000.0,,No,24000,"90,000",29,80.0,General Finance,Consult a financial advisor,,4.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules","Save for marriage, children, or housing.",Avoid high-interest debt/ loan sharks (common in informal lending).,"Save to build income diversity (side hustles, freelancing, or overseas jobs)."
30/12/2024 12:18,1,Material technician,3,200000,220000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,,39000.0,176500.0,No,4500,85000,41,2.045454545,General Finance,Consult a financial advisor,,0.020881671,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver",2–3 months a year to ban non-essential purchases.,"Avoid seettu (rotating savings group). If desperate, try with a trusted group","Grow a home garden to reduce food costs or collect free seasonal produce (jackfruit, coconuts) from public spaces."
30/12/2024 12:37,1,Deputy Shop Manager,3,110000,210000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,56000.0,153000.0,No,1000,80 000,46,0.476190476,General Finance,Consult a financial advisor,,0.004784689,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules","Start an emergency fund. Aim for 5–6 months of expenses (even LKR 80,000 can prevent borrowing during crises).","Avoid seettu (rotating savings group). If desperate, try with a trusted group",Buy groceries in bulk with neighbours/friends and split costs—saves on unit price.
27/12/2024 20:57,0,,4,140000,180000,"Freelancing, Brand endorsements",pension,Yes,no,,,17500.0,158500.0,No,4000,90 000,29,2.222222222,General Finance,Consult a financial advisor,,0.022727273,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits",2–3 months a year to ban non-essential purchases.,Buy groceries in bulk with neighbours/friends and split costs—saves on unit price.,"Grow a home garden to reduce food costs or collect free seasonal produce (jackfruit, coconuts) from public spaces."
27/12/2024 11:14,1,small grocery shop,4,15000,75000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,,8000.0,61000.0,yes,6000,20000,59,8.0,General Finance,Consult a financial advisor,,0.086956522,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",Stay active to reduce healthcare costs.,Free public healthcare: Use government clinics to avoid private hospital costs.,Save in senior citizen FDs for higher interest rates.
30/12/2024 12:30,1,Internal Auditor,4,1500000,1800000,"Salary, Pension",,No,no,,,210000.0,350000.0,No,1240000,"75,000",25,68.88888889,General Finance,Consult a financial advisor,,2.214285714,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits",Avoid luxury spending: Resist splurging on cars/ clothing,Automate savings to avoid lifestyle inflation.,Avoid impulsive spending on gadgets; prioritize small emergency funds.
30/12/2024 12:18,0,,2,140000,220000,"Salary, Investments, Self-owned business",pension,Yes,no,,,47000.0,136500.0,No,36500,30000,34,16.59090909,General Finance,Consult a financial advisor,,0.198910082,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner","Save to build income diversity (side hustles, freelancing, or overseas jobs).",Avoid impulsive spending on gadgets; prioritize small emergency funds.,Buy discounted items as much as possible
30/12/2024 12:34,1,Warehouse Manager,4,1500000,1630000,"Investments (fixed deposits, stocks etc), Salary",pension,No,no,,,159000.0,379500.0,No,1091500,"40,000",36,66.96319018,General Finance,Consult a financial advisor,,2.026926648,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",Automate savings to avoid lifestyle inflation.,"Avoid risky investments and save instead (e.g., stock market due to volatility).",Liquid savings: Keep 6 months’ expenses in a savings account for emergencies.
30/12/2024 12:44,1,Window Dresser,4,160000,320000,"Freelancing, Brand endorsements",pension,Yes,no,,,60000.0,153000.0,no,107000,"90,000",39,33.4375,General Finance,Consult a financial advisor,,0.502347418,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",Grow emergency savings (3–6 months of expenses).,Automate savings to avoid lifestyle inflation.,Allocate 20% to foreign currency FD (USD/EUR).
30/12/2024 12:48,1,merchandiser,3,130000,1800000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,,291000.0,320500.0,No,1188500,65000,22,66.02777778,General Finance,Consult a financial advisor,,1.943581357,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",Avoid luxury spending: Resist splurging on cars/ clothing,Automate savings to avoid lifestyle inflation.,Avoid impulsive spending on gadgets; prioritize small emergency funds.
30/12/2024 12:18,1,Warehouse Manager,2,1500000,1500000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,No,no,,,135000.0,346000.0,No,1019000,65 000,36,67.93333333,General Finance,Consult a financial advisor,,2.118503119,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver",Automate savings to avoid lifestyle inflation.,"Avoid risky investments and save instead (e.g., stock market due to volatility).",Liquid savings: Keep 6 months’ expenses in a savings account for emergencies.
04/01/2025 23:53,1,Accounts assistant,4,70000,170000,Salary,,No,no,,,38000.0,89000.0,Yes,43000,40000,22,25.29411765,General Finance,Consult a financial advisor,,0.338582677,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",Second-hand purchases: Buy refurbished phones/electronics on Kapruka or Facebook Marketplace.,"Save for a degree/ masters (coding, freelancing courses) to boost income long-term.",Start a retirement fund (EPF/ETF) early for compound growth.
04/01/2025 22:47,1,Forman (Government),2,70000,160000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,34500.0,75500.0,No,50000,60000,29,31.25,General Finance,Consult a financial advisor,,0.454545455,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules","Save to build income diversity (side hustles, freelancing, or overseas jobs).",Avoid impulsive spending on gadgets; prioritize small emergency funds.,Buy discounted items as much as possible
30/12/2024 12:44,1,Finance Manager,4,70000,200000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,79000.0,87000.0,No,34000,75000,59,17.0,General Finance,Consult a financial advisor,,0.204819277,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules","Shift savings to senior citizen savings schemes (e.g., NSB).",Save and keep 1–2 years of expenses in cash/cash equivalents for emergencies.,Free public healthcare: Use government clinics to avoid private hospital costs.
30/12/2024 13:03,1,E-Commerce Manager,3,150000,150000,"Salary, Investments",,Yes,no,,,17000.0,122000.0,No,11000,300 000,27,7.333333333,General Finance,Consult a financial advisor,,0.079136691,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",Grow emergency savings (3–6 months of expenses).,Second-hand purchases: Buy refurbished phones/electronics on Kapruka or Facebook Marketplace.,"Save to build income diversity (side hustles, freelancing, or overseas jobs)."
10/01/2025 19:40,1,Electrical Engineering Tech,2,200000,230000,"Salary, Investments, Rental income",pension,Yes,no,,,35000.0,69500.0,No,125500,40000,52,54.56521739,General Finance,Consult a financial advisor,,1.200956938,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",Avoid Luxury spending: Resist splurging on cars/property without ROI.,Boost retirement contributions,"Avoid risky investments and save instead (e.g., stock market due to volatility)."
10/01/2025 19:40,1,Business Analyst,5,65000,140000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,No,no,,,12500.0,80500.0,No,47000,"70,000",43,33.57142857,General Finance,Consult a financial advisor,,0.505376344,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",Second-hand purchases: Buy refurbished phones/electronics on Kapruka or Facebook Marketplace.,"Repair, don’t replace: Fix appliances/clothing instead of buying new ones.",Save to prepay mortgages to reduce liabilities.
04/01/2025 22:47,1,senior graduate teacher,5,15000,120000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,,14000.0,84000.0,No,22000,75000,59,18.33333333,General Finance,Consult a financial advisor,,0.224489796,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",Free public healthcare: Use government clinics to avoid private hospital costs.,"Shift savings to senior citizen savings schemes (e.g., NSB).",Save and keep 1–2 years of expenses in cash/cash equivalents for emergencies.
30/12/2024 13:03,1,retail store,4,15000,180000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,,13500.0,126000.0,No,40500,200 000,32,22.5,General Finance,Consult a financial advisor,,0.290322581,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner","Save to build income diversity (side hustles, freelancing, or overseas jobs).",Avoid impulsive spending on gadgets; prioritize small emergency funds.,Buy discounted items as much as possible
04/01/2025 22:47,1,Structural design engineer,5,70000,240000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,15000.0,211500.0,No,13500,70000,32,5.625,General Finance,Consult a financial advisor,,0.059602649,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",Grow emergency savings (3–6 months of expenses).,Second-hand purchases: Buy refurbished phones/electronics on Kapruka or Facebook Marketplace.,"Save to build income diversity (side hustles, freelancing, or overseas jobs)."
30/12/2024 12:48,1,Teacher,4,125000,260000,"Salary, Investments, Self-owned business",,Yes,no,,,48000.0,120500.0,No,91500,90 000,55,35.19230769,General Finance,Consult a financial advisor,,0.543026706,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",Boost retirement contributions,Open a low-risk fixed deposit (common in Sri Lankan banks like NSB or commercial banks).,Liquid savings: Keep 6 months’ expenses in a savings account for emergencies.
10/01/2025 19:40,1,Internal Auditor,3,160000,500000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,78000.0,240000.0,No,182000,85000,32,36.4,General Finance,Consult a financial advisor,,0.572327044,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver",Grow emergency savings (3–6 months of expenses).,Automate savings to avoid lifestyle inflation.,Save to prepay mortgages to reduce liabilities.
04/01/2025 22:47,1,University Lecturer,4,120000,160000,"Freelancing, Brand endorsements",pension,Yes,no,,,29500.0,83000.0,No,47500,75000,28,29.6875,General Finance,Consult a financial advisor,,0.422222222,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules","Save to build income diversity (side hustles, freelancing, or overseas jobs).",Avoid impulsive spending on gadgets; prioritize small emergency funds.,Buy discounted items as much as possible
30/12/2024 13:03,1,Draftsperson,4,160000,210000,"Salary, Freelancing",pension,Yes,no,,,16000.0,127000.0,No,67000,"250,000",53,31.9047619,General Finance,Consult a financial advisor,,0.468531469,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",Boost retirement contributions,Open a low-risk fixed deposit (common in Sri Lankan banks like NSB or commercial banks).,Liquid savings: Keep 6 months’ expenses in a savings account for emergencies.
30/12/2024 12:23,1,Mechatronics Technician,2,120000,200000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,73000.0,117000.0,No,10000,"90,000",49,5.0,General Finance,Consult a financial advisor,,0.052631579,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",Stay active to reduce healthcare costs.,Free public healthcare: Use government clinics to avoid private hospital costs.,Save in senior citizen FDs for higher interest rates.
27/12/2024 20:51,1,Procurement Specialist,2,130000,240000,Freelancing,pension,Yes,no,,,77000.0,95000.0,No,68000,"90,000",52,28.33333333,General Finance,Consult a financial advisor,,0.395348837,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",Boost retirement contributions,Open a low-risk fixed deposit (common in Sri Lankan banks like NSB or commercial banks).,Liquid savings: Keep 6 months’ expenses in a savings account for emergencies.
10/01/2025 19:40,0,,2,120000,250000,"Freelancing, Brand endorsements",,Yes,no,,,37000.0,103500.0,No,109500,"8,000",30,43.8,General Finance,Consult a financial advisor,,0.779359431,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",Grow emergency savings (3–6 months of expenses).,Automate savings to avoid lifestyle inflation.,Save to prepay mortgages to reduce liabilities.
04/01/2025 23:06,1,Dancer,6,180000,1800000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,125000.0,437500.0,No,1237500,65000,44,68.75,General Finance,Consult a financial advisor,,2.2,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",Automate savings to avoid lifestyle inflation.,"Avoid risky investments and save instead (e.g., stock market due to volatility).",Liquid savings: Keep 6 months’ expenses in a savings account for emergencies.
14/12/2024 15:47,1,Technical officer,3,160000,160000,Salary,,Yes,no,,,20500.0,99500.0,No,40000,"30,000",49,25.0,General Finance,Consult a financial advisor,,0.333333333,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",Save and keep 1–2 years of expenses in cash/cash equivalents for emergencies.,Boost retirement contributions,Free public healthcare: Use government clinics to avoid private hospital costs.
