Timestamp,Are you employed?,What is your job?,How many people are in your house?,What is your personal income?,What is your total household income?,What categories of income do you currently have?,If u said other please mention what it was,Do you have a vehicle/s?,Do you live alone and cover your own expenses?,"If you live alone, How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly","If you live alone, How much do you spend on basic needs monthly?",If you live with family How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly,If you live with family How much do you spend on basic needs monthly?,Do you have any issues in handling your income and expenses? If so please mention. ,How much do you save monthly?,How much do you want to save monthly ( could be different from what you actually save),Age,Savings_Ratio,financial_priority,detailed_advice,Unnamed: 21,Risk_proxy_returns,Investment type,unwanted_spending,basic_needs,WMI,FRF,DSE,CFH
30/12/2024 12:26,0,,3,170000,270000,"Salary, Investments, Self-owned business",pension,Yes,no,0.0,0.0,32000.0,218000.0,No,20000,"90,000",38,7.407407407,General Finance,Consult a financial advisor,0.0,0.08,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",32000.0,218000.0,0.003638866988287304,0.33274912000048384,3.414486428888447e-06,2724.4052138778084
30/12/2024 12:30,1,Varnisher,4,180000,230000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,0.0,0.0,17000.0,151000.0,No,62000,"20,000",59,26.95652174,General Finance,Consult a financial advisor,0.0,0.369047619,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",17000.0,151000.0,0.012893977330188482,0.49855066992477043,2.0381212065783753e-06,48591.40356873223
10/01/2025 19:40,1,Senior insurance Executive,3,120000,200000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,0.0,0.0,79000.0,112000.0,No,9000,50 000,39,4.5,General Finance,Consult a financial advisor,0.0,0.047120419,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",79000.0,112000.0,0.0014377154987478466,0.32563146177481456,8.375809826486582e-07,404.79633891394786
30/12/2024 12:30,1,Director engineering,3,140000,240000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Event betting cuts,Yes,no,0.0,0.0,36000.0,156500.0,No,47500,60000,24,19.79166667,General Finance,Consult a financial advisor,0.0,0.246753247,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",36000.0,156500.0,0.008820277906769348,0.30957473824131765,3.5496422188945726e-06,11993.589885623756
30/12/2024 12:48,0,Retired,4,140000,170000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,No,no,0.0,0.0,23000.0,139000.0,No,8000,80 000,51,4.705882353,General Finance,Consult a financial advisor,0.0,0.049382716,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",23000.0,139000.0,0.0017206934302517894,0.36237080061046506,2.419165499443044e-06,593.3641206021149
30/12/2024 12:37,1,retail store,3,180000,180000,"Salary, Commission",pension,Yes,no,0.0,0.0,15500.0,121500.0,No,43000,90 000,40,23.88888889,General Finance,Consult a financial advisor,0.0,0.313868613,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",15500.0,121500.0,0.010934393917496179,0.39826764472247195,9.672894804600958e-06,21246.469606596653
04/01/2025 22:30,1,Designer,2,170000,220000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,0.0,0.0,30000.0,113500.0,yes,76500,"80,000",28,34.77272727,General Finance,Consult a financial advisor,0.0,0.533101045,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",30000.0,113500.0,0.018771758914403018,0.3930582241049546,5.82808771162603e-06,44265.02919970087
30/12/2024 12:37,1,retail store,3,160000,210000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,No,no,0.0,0.0,54000.0,137500.0,No,18500,60000,30,8.80952381,General Finance,Consult a financial advisor,0.0,0.096605744,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver",54000.0,137500.0,0.0025767645577745354,0.2931534713748362,1.8407487647121566e-06,1779.0856721332445
10/01/2025 19:40,1,Director engineering,4,15000,240000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,0.0,0.0,76000.0,138000.0,No,26000,"60,000",41,10.83333333,General Finance,Consult a financial advisor,0.0,0.121495327,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",76000.0,138000.0,0.02668119092560708,0.359337362741098,6.472883826314744e-07,662.8154758162573
30/12/2024 12:30,1,Draftsperson,3,15000,430000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,0.0,0.0,92000.0,259000.0,No,79000,90 000,28,18.37209302,General Finance,Consult a financial advisor,0.0,0.225071225,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",92000.0,259000.0,0.144784403789707,0.35028432407143145,8.070432871501011e-07,3907.525457815259
27/12/2024 20:51,1,Financial Advisor,3,100000,260000,"Freelancing, Brand endorsements",pension,Yes,no,0.0,0.0,34000.0,130000.0,No,96000,"90,000",55,36.92307692,General Finance,Consult a financial advisor,0.0,0.585365854,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",34000.0,130000.0,0.03281655114175616,0.5761771310289849,1.3620841036609818e-06,76250.73889808616
30/12/2024 12:23,1,Supervisor,2,140000,240000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,0.0,0.0,54000.0,122000.0,No,64000,"50,000",51,26.66666667,General Finance,Consult a financial advisor,0.0,0.363636364,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",54000.0,122000.0,0.016118468957609294,0.431740577653663,1.1362287868433372e-06,29884.913561706948
30/12/2024 12:26,1,Internal Auditor,2,160000,190000,"Salary, Pension",pension,Yes,no,0.0,0.0,43000.0,59000.0,No,88000,"8,000",23,46.31578947,General Finance,Consult a financial advisor,0.0,0.862745098,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",43000.0,59000.0,0.01832829323114937,0.361552614638065,3.476575130097488e-06,56225.02745080419
29/12/2024 17:15,0,,3,15000,30000,"Freelancing, Brand endorsements",pension,Yes,no,0.0,0.0,6000.0,0.0,No,24000,"90,000",29,80.0,General Finance,Consult a financial advisor,0.0,4.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",6000.0,0.0,0.10215650910232646,0.5913517868887959,4.579858078779631e-05,34845663.649270535
30/12/2024 12:18,1,Material technician,3,200000,220000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,0.0,0.0,39000.0,176500.0,No,4500,85000,41,2.045454545,General Finance,Consult a financial advisor,0.0,0.020881671,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver",39000.0,176500.0,0.0006427296106600349,0.32816209757104575,2.2058349248961183e-06,133.29317996220152
30/12/2024 12:37,1,Deputy Shop Manager,3,110000,210000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,0.0,0.0,56000.0,153000.0,No,1000,80 000,46,0.476190476,General Finance,Consult a financial advisor,0.0,0.004784689,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",56000.0,153000.0,0.00021074089133038383,0.342387997208448,9.465802528591919e-07,5.379225167905208
27/12/2024 20:57,0,,4,140000,180000,"Freelancing, Brand endorsements",pension,Yes,no,0.0,0.0,17500.0,158500.0,No,4000,90 000,29,2.222222222,General Finance,Consult a financial advisor,0.0,0.022727273,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits",17500.0,158500.0,0.0008634233227625995,0.27697887140563804,7.203347645806137e-06,123.00828011878237
27/12/2024 11:14,1,small grocery shop,4,15000,75000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,0.0,0.0,8000.0,61000.0,yes,6000,20000,59,8.0,General Finance,Consult a financial advisor,0.0,0.086956522,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",8000.0,61000.0,0.017382689360837124,0.4253250353010704,4.919196670254092e-06,148.7140210874464
30/12/2024 12:30,1,Internal Auditor,4,1500000,1800000,"Salary, Pension",,No,no,0.0,0.0,210000.0,350000.0,No,1240000,"75,000",25,68.88888889,General Finance,Consult a financial advisor,0.0,2.214285714,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits",210000.0,350000.0,0.00903675887523269,0.5832196984298175,2.628644353176247e-07,4719945.571027811
30/12/2024 12:18,0,,2,140000,220000,"Salary, Investments, Self-owned business",pension,Yes,no,0.0,0.0,47000.0,136500.0,No,36500,30000,34,16.59090909,General Finance,Consult a financial advisor,0.0,0.198910082,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",47000.0,136500.0,0.008746563977141198,0.3381226496790563,2.676446213503294e-06,7907.274682725564
30/12/2024 12:34,1,Warehouse Manager,4,1500000,1630000,"Investments (fixed deposits, stocks etc), Salary",pension,No,no,0.0,0.0,159000.0,379500.0,No,1091500,"40,000",36,66.96319018,General Finance,Consult a financial advisor,0.0,2.026926648,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",159000.0,379500.0,0.010014212392813325,0.6457263716343284,3.50795316725107e-07,4070909.6834715474
30/12/2024 12:44,1,Window Dresser,4,160000,320000,"Freelancing, Brand endorsements",pension,Yes,no,0.0,0.0,60000.0,153000.0,no,107000,"90,000",39,33.4375,General Finance,Consult a financial advisor,0.0,0.502347418,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",60000.0,153000.0,0.012773771843261674,0.44584898396227757,1.1674571566259563e-06,73351.4446547777
30/12/2024 12:48,1,merchandiser,3,130000,1800000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,0.0,0.0,291000.0,320500.0,No,1188500,65000,22,66.02777778,General Finance,Consult a financial advisor,0.0,1.943581357,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",291000.0,320500.0,0.30081348099651467,0.5650096312061017,1.7818426877406952e-07,2797168.936870584
30/12/2024 12:18,1,Warehouse Manager,2,1500000,1500000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,No,no,0.0,0.0,135000.0,346000.0,No,1019000,65 000,36,67.93333333,General Finance,Consult a financial advisor,0.0,2.118503119,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver",135000.0,346000.0,0.017626617440117207,0.6493935764305325,6.666177441799394e-07,3215079.8007961973
04/01/2025 23:53,1,Accounts assistant,4,70000,170000,Salary,,No,no,0.0,0.0,38000.0,89000.0,Yes,43000,40000,22,25.29411765,General Finance,Consult a financial advisor,0.0,0.338582677,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",38000.0,89000.0,0.011636041073682428,0.3174531464182967,2.5931468785342044e-06,7692.149882637853
04/01/2025 22:47,1,Forman (Government),2,70000,160000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,0.0,0.0,34500.0,75500.0,No,50000,60000,29,31.25,General Finance,Consult a financial advisor,0.0,0.454545455,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",34500.0,75500.0,0.02721877921410182,0.3862999488130091,4.472698312519622e-06,13902.64430351206
30/12/2024 12:44,1,Finance Manager,4,70000,200000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,0.0,0.0,79000.0,87000.0,No,34000,75000,59,17.0,General Finance,Consult a financial advisor,0.0,0.204819277,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",79000.0,87000.0,0.007920691784613893,0.41133811120375957,2.0200659990920595e-07,5848.485244653017
30/12/2024 13:03,1,E-Commerce Manager,3,150000,150000,"Salary, Investments",,Yes,no,0.0,0.0,17000.0,122000.0,No,11000,300 000,27,7.333333333,General Finance,Consult a financial advisor,0.0,0.079136691,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",17000.0,122000.0,0.0027865614865382068,0.2737985637904461,9.922543322101744e-06,986.4695902871437
10/01/2025 19:40,1,Electrical Engineering Tech,2,200000,230000,"Salary, Investments, Rental income",pension,Yes,no,0.0,0.0,35000.0,69500.0,No,125500,40000,52,54.56521739,General Finance,Consult a financial advisor,0.0,1.200956938,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",35000.0,69500.0,0.029200412545866312,0.5578627244371099,2.1216454989992725e-06,196415.50086983832
10/01/2025 19:40,1,Business Analyst,5,65000,140000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,No,no,0.0,0.0,12500.0,80500.0,No,47000,"70,000",43,33.57142857,General Finance,Consult a financial advisor,0.0,0.505376344,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",12500.0,80500.0,0.02354890893777906,0.5591758227017749,7.750405765547036e-06,22353.92671844595
04/01/2025 22:47,1,senior graduate teacher,5,15000,120000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,0.0,0.0,14000.0,84000.0,No,22000,75000,59,18.33333333,General Finance,Consult a financial advisor,0.0,0.224489796,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",14000.0,84000.0,0.04380617095539761,0.5154666023988774,1.9243785199073043e-06,1388.696514186109
30/12/2024 13:03,1,retail store,4,15000,180000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,0.0,0.0,13500.0,126000.0,No,40500,200 000,32,22.5,General Finance,Consult a financial advisor,0.0,0.290322581,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",13500.0,126000.0,0.10235062128770814,0.5476893522358738,1.0215251043067912e-05,3259.7316758307998
04/01/2025 22:47,1,Structural design engineer,5,70000,240000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,0.0,0.0,15000.0,211500.0,No,13500,70000,32,5.625,General Finance,Consult a financial advisor,0.0,0.059602649,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",15000.0,211500.0,0.005141594364204394,0.3221220706521617,7.06921632043591e-06,1095.253545476882
30/12/2024 12:48,1,Teacher,4,125000,260000,"Salary, Investments, Self-owned business",,Yes,no,0.0,0.0,48000.0,120500.0,No,91500,90 000,55,35.19230769,General Finance,Consult a financial advisor,0.0,0.543026706,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",48000.0,120500.0,0.01637836863503428,0.504117415442548,6.760261600459205e-07,66664.85217906753
10/01/2025 19:40,1,Internal Auditor,3,160000,500000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,0.0,0.0,78000.0,240000.0,No,182000,85000,32,36.4,General Finance,Consult a financial advisor,0.0,0.572327044,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver",78000.0,240000.0,0.024498643680476075,0.48146991590786176,1.1436675423609717e-06,162834.26724119604
04/01/2025 22:47,1,University Lecturer,4,120000,160000,"Freelancing, Brand endorsements",pension,Yes,no,0.0,0.0,29500.0,83000.0,No,47500,75000,28,29.6875,General Finance,Consult a financial advisor,0.0,0.422222222,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",29500.0,83000.0,0.009357601795741608,0.352179878527453,3.885288519239338e-06,16661.462465827804
30/12/2024 13:03,1,Draftsperson,4,160000,210000,"Salary, Freelancing",pension,Yes,no,0.0,0.0,16000.0,127000.0,No,67000,"250,000",53,31.9047619,General Finance,Consult a financial advisor,0.0,0.468531469,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",16000.0,127000.0,0.015920964515002536,0.5228097115050405,3.920708872342815e-06,58504.718798220085
30/12/2024 12:23,1,Mechatronics Technician,2,120000,200000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,0.0,0.0,73000.0,117000.0,No,10000,"90,000",49,5.0,General Finance,Consult a financial advisor,0.0,0.052631579,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",73000.0,117000.0,0.0023284338907301164,0.35797877874411893,7.506531943126223e-07,562.6674128708108
27/12/2024 20:51,1,Procurement Specialist,2,130000,240000,Freelancing,pension,Yes,no,0.0,0.0,77000.0,95000.0,No,68000,"90,000",52,28.33333333,General Finance,Consult a financial advisor,0.0,0.395348837,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",77000.0,95000.0,0.015576804286624137,0.4254741062574637,6.256709093351339e-07,31545.266424049412
10/01/2025 19:40,0,,2,120000,250000,"Freelancing, Brand endorsements",,Yes,no,0.0,0.0,37000.0,103500.0,No,109500,"8,000",30,43.8,General Finance,Consult a financial advisor,0.0,0.779359431,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",37000.0,103500.0,0.036794241679762446,0.49401656319120635,4.2200263513030885e-06,85676.74966868166
04/01/2025 23:06,1,Dancer,6,180000,1800000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,0.0,0.0,125000.0,437500.0,No,1237500,65000,44,68.75,General Finance,Consult a financial advisor,0.0,2.2,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",125000.0,437500.0,0.10717558954381068,0.963953509262695,2.412443348852791e-07,6812505.686173261
14/12/2024 15:47,1,Technical officer,3,160000,160000,Salary,,Yes,no,0.0,0.0,20500.0,99500.0,No,40000,"30,000",49,25.0,General Finance,Consult a financial advisor,0.0,0.333333333,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",20500.0,99500.0,0.010274547887991177,0.4138350144547346,4.3398772590436285e-06,18370.170194519542
30/12/2024 12:26,1,storekeeper,3,160000,240000,Salary,pension,Yes,no,0.0,0.0,78000.0,104500.0,No,57500,50 000,20,23.95833333,General Finance,Consult a financial advisor,0.0,0.315068493,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",78000.0,104500.0,0.006110732983597377,0.26377215563772277,1.122310598633747e-06,13303.90505800461
30/12/2024 12:59,1,Sound Engineer,4,140000,180000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,0.0,0.0,38500.0,115500.0,No,26000,65000,24,14.44444444,General Finance,Consult a financial advisor,0.0,0.168831169,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits",38500.0,115500.0,0.0036466120555127116,0.2716283448835023,2.5769640930501767e-06,3647.707468244091
10/01/2025 19:43,1,Bookmaker,2,60000,260000,"Salary, Investments, Self-owned business",pension,Yes,no,0.0,0.0,43000.0,102000.0,No,115000,80 000,43,44.23076923,General Finance,Consult a financial advisor,0.0,0.793103448,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",43000.0,102000.0,0.0883844483898928,0.5646243595218587,2.400778053458317e-06,72192.43925292425
29/12/2024 17:00,0,,2,150000,190000,"Freelancing, Brand endorsements",pension,Yes,no,0.0,0.0,70000.0,65500.0,No,54500,300000,36,28.68421053,General Finance,Consult a financial advisor,0.0,0.402214022,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",70000.0,65500.0,0.010382565259942442,0.3577597400593783,1.4574693617398794e-06,20709.576004621656
30/12/2024 12:34,1,Technologist,4,130000,160000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,0.0,0.0,26500.0,96500.0,No,37000,"8,000",36,23.125,General Finance,Consult a financial advisor,0.0,0.300813008,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",26500.0,96500.0,0.007566984458487432,0.3658209846111031,4.021370835948552e-06,11681.273117636554
