Age,Are you employed?,Do you have a vehicle/s?,Do you have any issues in handling your income and expenses? If so please mention.,Do you live alone and cover your own expenses?,How many people are in your house?,How much do you save monthly?,How much do you want to save monthly ( could be different from what you actually save),If u said other please mention what it was,"If you live alone, How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly","If you live alone, How much do you spend on basic needs monthly?",If you live with family How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly,If you live with family How much do you spend on basic needs monthly?,Investment type,Risk_proxy_returns,Savings_Ratio,Timestamp,Unnamed: 21,What categories of income do you currently have?,What is your job?,What is your personal income?,What is your total household income?,detailed_advice,financial_priority,investment_advice_1,investment_advice_2,investment_advice_avoid
33,1,Yes,No,no,5,62000,200 000,pension,,,74000.0,264000.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.183431953,15.5,30/12/2024 12:37,,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",Deputy General Manager (Construction),160000,400000,Consult a financial advisor,General Finance,Open a Forex Account,Dividend-paying Stocks,Don't Skip Retirement Planning
49,1,Yes,No,no,3,59000,"90,000",pension,,,76000.0,185000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.22605364,18.4375,27/12/2024 20:51,,"Salary, Investments, Commission",retail store,130000,320000,Consult a financial advisor,General Finance,Buy ETFs,Real Estate Trusts,Avoid Emotion-Driven Decisions
27,1,Yes,No,no,3,89000,"80,000",pension,,,16000.0,145000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.552795031,35.6,30/12/2024 12:59,,"Investments (fixed deposits, stocks etc), Salary",Repairer,65000,250000,Consult a financial advisor,General Finance,Real Estate (small plots),Dividend-paying Stocks,Avoid Overexposure to One Sector
20,1,Yes,No,no,4,3000,"70,000",pension,,,36000.0,141000.0,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits",0.016949153,1.666666667,27/12/2024 20:57,,"Investments (fixed deposits, stocks etc), Salary",small grocery shop,65000,180000,Consult a financial advisor,General Finance,Open a Forex Account,Stock Options Learning,Avoid Ignoring Tax Implications
50,1,Yes,No,no,3,68000,85000,pension,,,69000.0,93000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.419753086,29.56521739,30/12/2024 12:30,,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",Electrical Engineering Tech,170000,230000,Consult a financial advisor,General Finance,Invest in Blue Chip Stocks,Open Dollar Account,Avoid Non-Diversified Portfolios
48,1,Yes,No,no,3,106500,"60,000",pension,,,21000.0,122500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.742160279,42.6,04/01/2025 22:30,,"Salary, Freelancing",Stock Broker,60000,250000,Consult a financial advisor,General Finance,Consider Pension Schemes,Try Automated Saving Apps,Avoid High Leverage
39,1,Yes,No,no,2,1282000,"70,000",pension,,,159000.0,359000.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",2.474903475,71.22222222,30/12/2024 12:18,,"Freelancing, Brand endorsements",Key Account Manager,160000,1800000,Consult a financial advisor,General Finance,Open High-Yield Savings Account,Green Bonds,Don't Chase Unrealistic Returns
38,0,Yes,No,no,3,20000,"90,000",pension,,,32000.0,218000.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.08,7.407407407,30/12/2024 12:26,,"Salary, Investments, Self-owned business",,170000,270000,Consult a financial advisor,General Finance,Open High-Yield Savings Account,Stock Options Learning,Avoid High Leverage
59,1,Yes,No,no,4,62000,"20,000",pension,,,17000.0,151000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.369047619,26.95652174,30/12/2024 12:30,,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Varnisher,180000,230000,Consult a financial advisor,General Finance,Start SIP (Systematic Investment Plan),Use AI-based Portfolio Managers,Avoid Timing the Market
39,1,Yes,No,no,3,9000,50 000,pension,,,79000.0,112000.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.047120419,4.5,10/01/2025 19:40,,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",Senior insurance Executive,120000,200000,Consult a financial advisor,General Finance,Invest in Corporate Bonds,Open Dollar Account,Avoid High-Risk Derivatives
24,1,Yes,No,no,3,47500,60000,Event betting cuts,,,36000.0,156500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.246753247,19.79166667,30/12/2024 12:30,,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Director engineering,140000,240000,Consult a financial advisor,General Finance,Consider Pension Schemes,Precious Metal Mutual Funds,Avoid Ignoring Tax Implications
51,0,No,No,no,4,8000,80 000,pension,,,23000.0,139000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.049382716,4.705882353,30/12/2024 12:48,,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Retired,140000,170000,Consult a financial advisor,General Finance,Invest in Gold Bonds,Start ESG Investment,Avoid Overexposure to One Sector
40,1,Yes,No,no,3,43000,90 000,pension,,,15500.0,121500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.313868613,23.88888889,30/12/2024 12:37,,"Salary, Commission",retail store,180000,180000,Consult a financial advisor,General Finance,Consider Pension Schemes,Start ESG Investment,Avoid Undocumented Assets
28,1,Yes,yes,no,2,76500,"80,000",pension,,,30000.0,113500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.533101045,34.77272727,04/01/2025 22:30,,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Designer,170000,220000,Consult a financial advisor,General Finance,Invest in Unit Trusts,Start ESG Investment,Avoid Overexposure to One Sector
30,1,No,No,no,3,18500,60000,pension,,,54000.0,137500.0,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver",0.096605744,8.80952381,30/12/2024 12:37,,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",retail store,160000,210000,Consult a financial advisor,General Finance,Real Estate (small plots),Green Bonds,Avoid Emotion-Driven Decisions
41,1,Yes,No,no,4,26000,"60,000",pension,,,76000.0,138000.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.121495327,10.83333333,10/01/2025 19:40,,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",Director engineering,15000,240000,Consult a financial advisor,General Finance,Start Emergency Fund,Peer-to-Peer Lending,Don't Trust Unlicensed Advisors
28,1,Yes,No,no,3,79000,90 000,pension,,,92000.0,259000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.225071225,18.37209302,30/12/2024 12:30,,"Investments (fixed deposits, stocks etc), Salary",Draftsperson,15000,430000,Consult a financial advisor,General Finance,Conservative Hybrid Funds,Real Estate Trusts,Avoid Timing the Market
55,1,Yes,No,no,3,96000,"90,000",pension,,,34000.0,130000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.585365854,36.92307692,27/12/2024 20:51,,"Freelancing, Brand endorsements",Financial Advisor,100000,260000,Consult a financial advisor,General Finance,Invest in Corporate Bonds,Dividend-paying Stocks,Avoid Timing the Market
51,1,Yes,No,no,2,64000,"50,000",pension,,,54000.0,122000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.363636364,26.66666667,30/12/2024 12:23,,"Investments (fixed deposits, stocks etc), Salary",Supervisor,140000,240000,Consult a financial advisor,General Finance,Invest in REITs,Start Freelancing for Side Income,Avoid Ignoring Fees
23,1,Yes,No,no,2,88000,"8,000",pension,,,43000.0,59000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.862745098,46.31578947,30/12/2024 12:26,,"Salary, Pension",Internal Auditor,160000,190000,Consult a financial advisor,General Finance,Real Estate (small plots),Start ESG Investment,Avoid Undocumented Assets
29,0,Yes,No,no,3,24000,"90,000",pension,,,6000.0,,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",4.0,80.0,29/12/2024 17:15,,"Freelancing, Brand endorsements",,15000,30000,Consult a financial advisor,General Finance,Start SIP (Systematic Investment Plan),Peer-to-Peer Lending,Don't Invest on Borrowed Money
41,1,Yes,No,no,3,4500,85000,,,,39000.0,176500.0,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver",0.020881671,2.045454545,30/12/2024 12:18,,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",Material technician,200000,220000,Consult a financial advisor,General Finance,Invest in REITs,Start Freelancing for Side Income,Avoid Emotion-Driven Decisions
46,1,Yes,No,no,3,1000,80 000,pension,,,56000.0,153000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.004784689,0.476190476,30/12/2024 12:37,,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Deputy Shop Manager,110000,210000,Consult a financial advisor,General Finance,Contribute to Retirement Fund,Invest in Collectibles,Avoid High-Risk Derivatives
29,0,Yes,No,no,4,4000,90 000,pension,,,17500.0,158500.0,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits",0.022727273,2.222222222,27/12/2024 20:57,,"Freelancing, Brand endorsements",,140000,180000,Consult a financial advisor,General Finance,Buy Treasury Bonds,Stock Options Learning,Avoid Investing Without Emergency Fund
59,1,Yes,yes,no,4,6000,20000,,,,8000.0,61000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.086956522,8.0,27/12/2024 11:14,,"Salary, Self owned unofficial business (car rentals, house rentals etc)",small grocery shop,15000,75000,Consult a financial advisor,General Finance,Invest in Corporate Bonds,Start Freelancing for Side Income,Avoid Emotion-Driven Decisions
25,1,No,No,no,4,1240000,"75,000",,,,210000.0,350000.0,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits",2.214285714,68.88888889,30/12/2024 12:30,,"Salary, Pension",Internal Auditor,1500000,1800000,Consult a financial advisor,General Finance,Open High-Yield Savings Account,Try Crypto ETFs,Don't Chase Unrealistic Returns
34,0,Yes,No,no,2,36500,30000,pension,,,47000.0,136500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.198910082,16.59090909,30/12/2024 12:18,,"Salary, Investments, Self-owned business",,140000,220000,Consult a financial advisor,General Finance,Contribute to Retirement Fund,Try Automated Saving Apps,Avoid Overexposure to One Sector
36,1,No,No,no,4,1091500,"40,000",pension,,,159000.0,379500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",2.026926648,66.96319018,30/12/2024 12:34,,"Investments (fixed deposits, stocks etc), Salary",Warehouse Manager,1500000,1630000,Consult a financial advisor,General Finance,Invest in Blue Chip Stocks,Start Freelancing for Side Income,Avoid Crypto Without Research
39,1,Yes,no,no,4,107000,"90,000",pension,,,60000.0,153000.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.502347418,33.4375,30/12/2024 12:44,,"Freelancing, Brand endorsements",Window Dresser,160000,320000,Consult a financial advisor,General Finance,Use Budgeting Tools,Peer-to-Peer Lending,Don't Chase Unrealistic Returns
22,1,Yes,No,no,3,1188500,65000,,,,291000.0,320500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",1.943581357,66.02777778,30/12/2024 12:48,,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",merchandiser,130000,1800000,Consult a financial advisor,General Finance,Use Tax-Efficient Accounts,Precious Metal Mutual Funds,Don't Invest on Borrowed Money
36,1,No,No,no,2,1019000,65 000,,,,135000.0,346000.0,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver",2.118503119,67.93333333,30/12/2024 12:18,,"Salary, Self owned unofficial business (car rentals, house rentals etc)",Warehouse Manager,1500000,1500000,Consult a financial advisor,General Finance,Invest in Index Funds,Start ESG Investment,Don't Skip Retirement Planning
22,1,No,Yes,no,4,43000,40000,,,,38000.0,89000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.338582677,25.29411765,04/01/2025 23:53,,Salary,Accounts assistant,70000,170000,Consult a financial advisor,General Finance,Contribute to Retirement Fund,Explore Structured Products,Avoid Investing Without Emergency Fund
29,1,Yes,No,no,2,50000,60000,pension,,,34500.0,75500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.454545455,31.25,04/01/2025 22:47,,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Forman (Government),70000,160000,Consult a financial advisor,General Finance,Buy Treasury Bonds,Green Bonds,Avoid High Leverage
59,1,Yes,No,no,4,34000,75000,pension,,,79000.0,87000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.204819277,17.0,30/12/2024 12:44,,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Finance Manager,70000,200000,Consult a financial advisor,General Finance,Start Emergency Fund,Try Crypto ETFs,Don't Invest on Borrowed Money
27,1,Yes,No,no,3,11000,300 000,,,,17000.0,122000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.079136691,7.333333333,30/12/2024 13:03,,"Salary, Investments",E-Commerce Manager,150000,150000,Consult a financial advisor,General Finance,Open a Forex Account,Diversify with Islamic Finance,Avoid Emotion-Driven Decisions
52,1,Yes,No,no,2,125500,40000,pension,,,35000.0,69500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",1.200956938,54.56521739,10/01/2025 19:40,,"Salary, Investments, Rental income",Electrical Engineering Tech,200000,230000,Consult a financial advisor,General Finance,Contribute to Retirement Fund,Diversify with Islamic Finance,Avoid Overlapping Insurance-Investments
43,1,No,No,no,5,47000,"70,000",,,,12500.0,80500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.505376344,33.57142857,10/01/2025 19:40,,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Business Analyst,65000,140000,Consult a financial advisor,General Finance,Explore PPF/NSB Smart Saver,Precious Metal Mutual Funds,Avoid High-Risk Derivatives
59,1,Yes,No,no,5,22000,75000,,,,14000.0,84000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.224489796,18.33333333,04/01/2025 22:47,,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",senior graduate teacher,15000,120000,Consult a financial advisor,General Finance,Use Tax-Efficient Accounts,Start Freelancing for Side Income,Avoid High-Risk Derivatives
32,1,Yes,No,no,4,40500,200 000,,,,13500.0,126000.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.290322581,22.5,30/12/2024 13:03,,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",retail store,15000,180000,Consult a financial advisor,General Finance,Consider Pension Schemes,Try Crypto ETFs,Don't Ignore Inflation
32,1,Yes,No,no,5,13500,70000,pension,,,15000.0,211500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.059602649,5.625,04/01/2025 22:47,,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",Structural design engineer,70000,240000,Consult a financial advisor,General Finance,Start Emergency Fund,Use AI-based Portfolio Managers,Avoid Overexposure to One Sector
55,1,Yes,No,no,4,91500,90 000,,,,48000.0,120500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.543026706,35.19230769,30/12/2024 12:48,,"Salary, Investments, Self-owned business",Teacher,125000,260000,Consult a financial advisor,General Finance,Invest in Corporate Bonds,Participate in Micro Investing,Avoid High-Risk Derivatives
32,1,Yes,No,no,3,182000,85000,pension,,,78000.0,240000.0,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver",0.572327044,36.4,10/01/2025 19:40,,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",Internal Auditor,160000,500000,Consult a financial advisor,General Finance,Invest in Unit Trusts,Stock Options Learning,Avoid Investing Without Emergency Fund
28,1,Yes,No,no,4,47500,75000,pension,,,29500.0,83000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.422222222,29.6875,04/01/2025 22:47,,"Freelancing, Brand endorsements",University Lecturer,120000,160000,Consult a financial advisor,General Finance,Invest in Corporate Bonds,Use AI-based Portfolio Managers,Avoid High Leverage
53,1,Yes,No,no,4,67000,"250,000",pension,,,16000.0,127000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.468531469,31.9047619,30/12/2024 13:03,,"Salary, Freelancing",Draftsperson,160000,210000,Consult a financial advisor,General Finance,Contribute to Retirement Fund,Try Crowdfunding Platforms,Avoid Ponzi Schemes
49,1,Yes,No,no,2,10000,"90,000",pension,,,73000.0,117000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.052631579,5.0,30/12/2024 12:23,,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",Mechatronics Technician,120000,200000,Consult a financial advisor,General Finance,Invest in Index Funds,Start Robo-Advisory Investment,Avoid Ignoring Fees
52,1,Yes,No,no,2,68000,"90,000",pension,,,77000.0,95000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.395348837,28.33333333,27/12/2024 20:51,,Freelancing,Procurement Specialist,130000,240000,Consult a financial advisor,General Finance,Open a Forex Account,Start ESG Investment,Don't Invest on Borrowed Money
30,0,Yes,No,no,2,109500,"8,000",,,,37000.0,103500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.779359431,43.8,10/01/2025 19:40,,"Freelancing, Brand endorsements",,120000,250000,Consult a financial advisor,General Finance,Invest in Gold Bonds,Real Estate Trusts,Avoid Frequent Trading
44,1,Yes,No,no,6,1237500,65000,pension,,,125000.0,437500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",2.2,68.75,04/01/2025 23:06,,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",Dancer,180000,1800000,Consult a financial advisor,General Finance,Consider Pension Schemes,Balanced Mutual Funds,Avoid High-Risk Derivatives
49,1,Yes,No,no,3,40000,"30,000",,,,20500.0,99500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.333333333,25.0,14/12/2024 15:47,,Salary,Technical officer,160000,160000,Consult a financial advisor,General Finance,Start SIP (Systematic Investment Plan),Green Bonds,Avoid Unregulated Investments
20,1,Yes,No,no,3,57500,50 000,pension,,,78000.0,104500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.315068493,23.95833333,30/12/2024 12:26,,Salary,storekeeper,160000,240000,Consult a financial advisor,General Finance,Diversify with Mutual Funds,Try Automated Saving Apps,Avoid High Leverage
24,1,Yes,No,no,4,26000,65000,pension,,,38500.0,115500.0,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits",0.168831169,14.44444444,30/12/2024 12:59,,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Sound Engineer,140000,180000,Consult a financial advisor,General Finance,Contribute to Retirement Fund,Try Crowdfunding Platforms,Avoid Ignoring Fees
43,1,Yes,No,no,2,115000,80 000,pension,,,43000.0,102000.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.793103448,44.23076923,10/01/2025 19:43,,"Salary, Investments, Self-owned business",Bookmaker,60000,260000,Consult a financial advisor,General Finance,Diversify with Mutual Funds,Try Crowdfunding Platforms,Avoid Ignoring Fees
36,0,Yes,No,no,2,54500,300000,pension,,,70000.0,65500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.402214022,28.68421053,29/12/2024 17:00,,"Freelancing, Brand endorsements",,150000,190000,Consult a financial advisor,General Finance,Buy Treasury Bonds,Try Automated Saving Apps,Avoid Ignoring Fees
36,1,Yes,No,no,4,37000,"8,000",pension,,,26500.0,96500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.300813008,23.125,30/12/2024 12:34,,"Investments (fixed deposits, stocks etc), Salary",Technologist,130000,160000,Consult a financial advisor,General Finance,Invest in Gold Bonds,Peer-to-Peer Lending,Don't Ignore Inflation
25,1,Yes,No,no,5,1000,"60,000",,,,25000.0,174000.0,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits",0.005025126,0.5,30/12/2024 12:34,,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",Junior Sales Representative,160000,200000,Consult a financial advisor,General Finance,Start Emergency Fund,Start Freelancing for Side Income,Don't Chase Unrealistic Returns
22,1,Yes,No,no,3,4500,60 000,pension,,,79000.0,116500.0,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits",0.023017903,2.25,29/12/2024 17:12,,"Salary, Pension",software engineer,200000,200000,Consult a financial advisor,General Finance,Start SIP (Systematic Investment Plan),Try Crowdfunding Platforms,Avoid Overexposure to One Sector
35,1,Yes,No,no,2,32000,75000,pension,,,62000.0,226000.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.111111111,10.0,30/12/2024 12:34,,"Salary, Commission",Mechanical Engineer,170000,320000,Consult a financial advisor,General Finance,Invest in Gold Bonds,Real Estate Trusts,Avoid Overexposure to One Sector
47,1,Yes,No,no,4,31500,"60,000",pension,,,24000.0,104500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.245136187,19.6875,30/12/2024 12:23,,"Freelancing, Brand endorsements",Financial Advisor,15000,160000,Consult a financial advisor,General Finance,Consider Pension Schemes,Open Dollar Account,Avoid Emotion-Driven Decisions
24,1,Yes,No,no,2,73000,35 000,,,,21000.0,76000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.75257732,42.94117647,30/12/2024 12:30,,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Teacher,130000,170000,Consult a financial advisor,General Finance,Open High-Yield Savings Account,Start Robo-Advisory Investment,Avoid Ponzi Schemes
56,1,Yes,No,no,2,24500,500000,pension,,,27500.0,98000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.195219124,16.33333333,30/12/2024 12:34,,"Salary, Investments, Self-owned business",small grocery shop,130000,150000,Consult a financial advisor,General Finance,Explore PPF/NSB Smart Saver,Participate in Micro Investing,Avoid Ignoring Fees
49,1,No,No,no,2,125000,"60,000",,,,74000.0,81000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.806451613,44.64285714,30/12/2024 12:48,,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Housewife,85000,280000,Consult a financial advisor,General Finance,Invest in Corporate Bonds,Peer-to-Peer Lending,Avoid Crypto Without Research
