Timestamp,Are you employed?,What is your job?,How many people are in your house?,What is your personal income?,What is your total household income?,What categories of income do you currently have?,If u said other please mention what it was,Do you have a vehicle/s?,Do you live alone and cover your own expenses?,"If you live alone, How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly","If you live alone, How much do you spend on basic needs monthly?",If you live with family How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly,If you live with family How much do you spend on basic needs monthly?,How much do you save monthly?,fam total spent,alone total spent,Age,Risk_proxy_returns,age range,"less than 5000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90","less than 5000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90","less than 5000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90",,,,,,,,Advice 2,Advice 3
30/12/2024 12:37,1,Deputy General Manager (Construction),5,160000,400000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,74000,264000,62000,"338,000",,33,0.183431953,36–45,"Grow a home garden to reduce food costs or collect free seasonal produce (jackfruit, coconuts) from public spaces..",Avoid high-interest debt/ loan sharks (common in informal lending).,"Save to build income diversity (side hustles, freelancing, or overseas jobs).",,,,,,,,,
27/12/2024 20:51,1,retail store,3,130000,320000,"Salary, Investments, Commission",pension,Yes,no,,,76000,185000,59000,"261,000",,49,0.22605364,46–55,Stay active to reduce healthcare costs.,Free public healthcare: Use government clinics to avoid private hospital costs.,Save in senior citizen FDs for higher interest rates.,,,,,,,,,
30/12/2024 12:59,1,Repairer,3,65000,250000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,,,16000,145000,89000,"161,000",,27,0.552795031, 56–65,Stay active to reduce healthcare costs.,Free public healthcare: Use government clinics to avoid private hospital costs.,Save in senior citizen FDs for higher interest rates.,,,,,,,,,
27/12/2024 20:57,1,small grocery shop,4,65000,180000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,,,36000,141000,3000,"177,000",,20,0.016949153,66–75,,,,,,,,,,,,
30/12/2024 12:30,1,Electrical Engineering Tech,3,170000,230000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,69000,93000,68000,"162,000",,50,0.419753086,76-90,,,,,,,,,,,,
04/01/2025 22:30,1,Stock Broker,3,60000,250000,"Salary, Freelancing",pension,Yes,no,,,21000,122500,106500,"143,500",,48,0.742160279,,"less than 30000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90","less than 30000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90","less than 30000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90",,,,,,,,,
30/12/2024 12:18,1,Key Account Manager,2,160000,1800000,"Freelancing, Brand endorsements",pension,Yes,no,,,159000,359000,1282000,"518,000",,39,2.474903475,18-25,"Save for short-term goals (e.g., education, relocation).",Start a retirement fund (EPF/ETF) early for compound growth.,"Monetize hobbies (e.g., crafting, tutoring) for extra income and save this income.",,,,,,,,,
30/12/2024 12:26,0,,3,170000,270000,"Salary, Investments, Self-owned business",pension,Yes,no,,,32000,218000,20000,"250,000",,38,0.08,26–35,"Save for marriage, children, or housing.",Avoid high-interest debt/ loan sharks (common in informal lending).,"Save to build income diversity (side hustles, freelancing, or overseas jobs).",,,,,,,,,
30/12/2024 12:30,1,Varnisher,4,180000,230000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,17000,151000,62000,"168,000",,59,0.369047619,36–45,Grow emergency savings (3–6 months of expenses).,save to prepay mortgages to reduce liabilities.,"Save to build income diversity (side hustles, freelancing, or overseas jobs).",,,,,,,,,
10/01/2025 19:40,1,Senior insurance Executive,3,120000,200000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,79000,112000,9000,"191,000",,39,0.047120419,46–55,Free public healthcare: Use government clinics to avoid private hospital costs.,Start an emergency fund (aim for 1–4 months of expenses),Save and keep  1–2 years of expenses in cash/cash equivalents for emergencies.,,,,,,,,,
30/12/2024 12:30,1,Director engineering,3,140000,240000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Event betting cuts,Yes,no,,,36000,156500,47500,"192,500",,24,0.246753247, 56–65,Free public healthcare: Use government clinics to avoid private hospital costs.,"Shift savings to senior citizen savings schemes (e.g., NSB).",Save and keep  1–2 years of expenses in cash/cash equivalents for emergencies.,,,,,,,,,
30/12/2024 12:48,0,Retired,4,140000,170000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,No,no,,,23000,139000,8000,"162,000",,51,0.049382716,66–75,,,,,,,,,,,,
30/12/2024 12:37,1,retail store,3,180000,180000,"Salary, Commission",pension,Yes,no,,,15500,121500,43000,"137,000",,40,0.313868613,76-90,,,,,,,,,,,,
04/01/2025 22:30,1,Designer,2,170000,220000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,30000,113500,76500,"143,500",,28,0.533101045,,"less than 60000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90","less than 60000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90","less than 60000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90",,,,,,,,,
30/12/2024 12:37,1,retail store,3,160000,210000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,No,no,,,54000,137500,18500,"191,500",,30,0.096605744,18-25,Second-hand purchases: Buy refurbished phones/electronics on Kapruka or Facebook Marketplace.,"save for a degree/ masters (coding, freelancing courses) to boost income long-term.",Start a retirement fund (EPF/ETF) early for compound growth.,,,,,,,,,
10/01/2025 19:40,1,Director engineering,4,15000,240000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,76000,138000,26000,"214,000",,41,0.121495327,26–35,"Save to build income diversity (side hustles, freelancing, or overseas jobs).",Avoid impulsive spending on gadgets; prioritize small emergency funds.,Buy discounted items as much as possible,,,,,,,,,
30/12/2024 12:30,1,Draftsperson,3,15000,430000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,,,92000,259000,79000,"351,000",,28,0.225071225,36–45,Second-hand purchases: Buy refurbished phones/electronics on Kapruka or Facebook Marketplace.,"Repair, don’t replace: Fix appliances/clothing instead of buying new ones.",save to prepay mortgages to reduce liabilities.,,,,,,,,,
27/12/2024 20:51,1,Financial Advisor,3,100000,260000,"Freelancing, Brand endorsements",pension,Yes,no,,,34000,130000,96000,"164,000",,55,0.585365854,46–55,Save and keep  1–2 years of expenses in cash/cash equivalents for emergencies.,Boost retirement contributions ,Free public healthcare: Use government clinics to avoid private hospital costs.,,,,,,,,,
30/12/2024 12:23,1,Supervisor,2,140000,240000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,,,54000,122000,64000,"176,000",,51,0.363636364, 56–65,"Shift savings to senior citizen savings schemes (e.g., NSB).",Save and keep  1–2 years of expenses in cash/cash equivalents for emergencies.,Free public healthcare: Use government clinics to avoid private hospital costs.,,,,,,,,,
30/12/2024 12:26,1,Internal Auditor,2,160000,190000,"Salary, Pension",pension,Yes,no,,,43000,59000,88000,"102,000",,23,0.862745098,66–75,,,,,,,,,,,,
29/12/2024 17:15,0,,3,15000,30000,"Freelancing, Brand endorsements",pension,Yes,no,,,6000,,24000,"6,000",,29,4,76-90,,,,,,,,,,,,
30/12/2024 12:18,1,Material technician,3,200000,220000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,,39000,176500,4500,"215,500",,41,0.020881671,,"less than 100000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90","less than 100000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90","less than 100000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90",,,,,,,,,
30/12/2024 12:37,1,Deputy Shop Manager,3,110000,210000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,56000,153000,1000,"209,000",,46,0.004784689,18-25,"save for a degree/ masters (coding, freelancing courses) to boost income long-term.",Avoid impulsive spending on gadgets; prioritize small emergency funds.,Start a retirement fund (EPF/ETF) early for compound growth.,,,,,,,,,
27/12/2024 20:57,0,,4,140000,180000,"Freelancing, Brand endorsements",pension,Yes,no,,,17500,158500,4000,"176,000",,29,0.022727273,26–35,Grow emergency savings (3–6 months of expenses).,Buy discounted items as much as possible,Avoid impulsive spending on gadgets; prioritize small emergency funds.,,,,,,,,,
27/12/2024 11:14,1,small grocery shop,4,15000,75000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,,8000,61000,6000,"69,000",,59,0.086956522,36–45,Second-hand purchases: Buy refurbished phones/electronics on Kapruka or Facebook Marketplace.,Grow emergency savings (3–6 months of expenses).,save to prepay mortgages to reduce liabilities.,,,,,,,,,
30/12/2024 12:30,1,Internal Auditor,4,1500000,1800000,"Salary, Pension",,No,no,,,210000,350000,1240000,"560,000",,25,2.214285714,46–55,Boost retirement contributions ,Open a low-risk fixed deposit (common in Sri Lankan banks like NSB or commercial banks).,Liquid savings: Keep 6 months’ expenses in a savings account for emergencies.,,,,,,,,,
30/12/2024 12:18,0,,2,140000,220000,"Salary, Investments, Self-owned business",pension,Yes,no,,,47000,136500,36500,"183,500",,34,0.198910082, 56–65,"Downsize lifestyle (sell unused assets, reduce luxury expenses) and use low risk fd to save.",Save and keep  1–2 years of expenses in cash/cash equivalents for emergencies.,Liquid savings: Keep 6 months’ expenses in a savings account for emergencies.,,,,,,,,,
30/12/2024 12:34,1,Warehouse Manager,4,1500000,1630000,"Investments (fixed deposits, stocks etc), Salary",pension,No,no,,,159000,379500,1091500,"538,500",,36,2.026926648,66–75,,,,,,,,,,,,
30/12/2024 12:44,1,Window Dresser,4,160000,320000,"Freelancing, Brand endorsements",pension,Yes,no,,,60000,153000,107000,"213,000",,39,0.502347418,76-90,,,,,,,,,,,,
30/12/2024 12:48,1,merchandiser,3,130000,1800000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,,291000,320500,1188500,"611,500",,22,1.943581357,,"less than 200000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90","less than 200000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90","less than 200000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90",,,,,,,,,
30/12/2024 12:18,1,Warehouse Manager,2,1500000,1500000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,No,no,,,135000,346000,1019000,"481,000",,36,2.118503119,18-25,"save for a degree/ masters (coding, freelancing courses) to boost income long-term.",Avoid impulsive spending on gadgets; prioritize small emergency funds.,"Invest in short-term fixed deposits (e.g., HNB or Seylan Bank).",,,,,,,,,
04/01/2025 23:53,1,Accounts assistant,4,70000,170000,Salary,,No,no,,,38000,89000,43000,"127,000",,22,0.338582677,26–35,Grow emergency savings (3–6 months of expenses).,Automate savings to avoid lifestyle inflation.,save to prepay mortgages to reduce liabilities.,,,,,,,,,
04/01/2025 22:47,1,Forman (Government),2,70000,160000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,34500,75500,50000,"110,000",,29,0.454545455,36–45,Grow emergency savings (3–6 months of expenses).,Automate savings to avoid lifestyle inflation.,Allocate 20% to foreign currency FD (USD/EUR).,,,,,,,,,
30/12/2024 12:44,1,Finance Manager,4,70000,200000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,79000,87000,34000,"166,000",,59,0.204819277,46–55,Avoid Luxury spending: Resist splurging on cars/property without ROI.,Boost retirement contributions,"Avoid risky investments and save instead (e.g., stock market due to volatility).",,,,,,,,,
30/12/2024 13:03,1,E-Commerce Manager,3,150000,150000,"Salary, Investments",,Yes,no,,,17000,122000,11000,"139,000",,27,0.079136691, 56–65,Liquid savings: Keep 6 months’ expenses in a savings account for emergencies.,Save and keep  1–2 years of expenses in cash/cash equivalents for emergencies.,"Downsize lifestyle (sell unused assets, reduce luxury expenses) and use low risk fd to save.",,,,,,,,,
10/01/2025 19:40,1,Electrical Engineering Tech,2,200000,230000,"Salary, Investments, Rental income",pension,Yes,no,,,35000,69500,125500,"104,500",,52,1.200956938,66–75,,,,,,,,,,,,
10/01/2025 19:40,1,Business Analyst,5,65000,140000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,No,no,,,12500,80500,47000,"93,000",,43,0.505376344,76-90,,,,,,,,,,,,
04/01/2025 22:47,1,senior graduate teacher,5,15000,120000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,,14000,84000,22000,"98,000",,59,0.224489796,,"less than 400000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90","less than 400000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90","less than 400000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90",,,,,,,,,
30/12/2024 13:03,1,retail store,4,15000,180000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,,13500,126000,40500,"139,500",,32,0.290322581,18-25,Automate savings to avoid lifestyle inflation.,Avoid Luxury spending: Resist splurging on cars/property without ROI.,Avoid impulsive spending on gadgets; prioritize small emergency funds.,,,,,,,,,
04/01/2025 22:47,1,Structural design engineer,5,70000,240000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,15000,211500,13500,"226,500",,32,0.059602649,26–35,Avoid Luxury spending: Resist splurging on cars/property without ROI.,Automate savings to avoid lifestyle inflation.,save to prepay mortgages to reduce liabilities.,,,,,,,,,
30/12/2024 12:48,1,Teacher,4,125000,260000,"Salary, Investments, Self-owned business",,Yes,no,,,48000,120500,91500,"168,500",,55,0.543026706,36–45,Grow emergency savings (3–6 months of expenses).,Automate savings to avoid lifestyle inflation.,Allocate 20% to foreign currency FD (USD/EUR).,,,,,,,,,
10/01/2025 19:40,1,Internal Auditor,3,160000,500000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,78000,240000,182000,"318,000",,32,0.572327044,46–55,Liquid savings: Keep 6 months’ expenses in a savings account for emergencies.,"Avoid risky investments and save instead (e.g., stock market due to volatility).","Diversify into Treasury Bonds (low risk, tax-free returns).",,,,,,,,,
04/01/2025 22:47,1,University Lecturer,4,120000,160000,"Freelancing, Brand endorsements",pension,Yes,no,,,29500,83000,47500,"112,500",,28,0.422222222, 56–65,Liquid savings: Keep 6 months’ expenses in a savings account for emergencies.,"Downsize lifestyle (sell unused assets, reduce luxury expenses) and use low risk fd to save.","Diversify into Treasury Bonds (low risk, tax-free returns).",,,,,,,,,
30/12/2024 13:03,1,Draftsperson,4,160000,210000,"Salary, Freelancing",pension,Yes,no,,,16000,127000,67000,"143,000",,53,0.468531469,66–75,,,,,,,,,,,,
30/12/2024 12:23,1,Mechatronics Technician,2,120000,200000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,73000,117000,10000,"190,000",,49,0.052631579,76-90,,,,,,,,,,,,
27/12/2024 20:51,1,Procurement Specialist,2,130000,240000,Freelancing,pension,Yes,no,,,77000,95000,68000,"172,000",,52,0.395348837,,"less than 800000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90","less than 800000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90","less than 800000 18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90",,,,,,,,,
10/01/2025 19:40,0,,2,120000,250000,"Freelancing, Brand endorsements",,Yes,no,,,37000,103500,109500,"140,500",,30,0.779359431,18-25,Avoid luxury spending: Resist splurging on cars/ clothing,Automate savings to avoid lifestyle inflation.,Avoid impulsive spending on gadgets; prioritize small emergency funds.,,,,,,,,,
04/01/2025 23:06,1,Dancer,6,180000,1800000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,125000,437500,1237500,"562,500",,44,2.2,26–35,Avoid Luxury spending: Resist splurging on cars/property without ROI.,Automate savings to avoid lifestyle inflation.,save to prepay mortgages to reduce liabilities.,,,,,,,,,
14/12/2024 15:47,1,Technical officer,3,160000,160000,Salary,,Yes,no,,,20500,99500,40000,"120,000",,49,0.333333333,36–45,Avoid Luxury spending: Resist splurging on cars/property without ROI.,Save and Set up a trust fund for children’s future.,"Diversify into Treasury Bonds (low risk, tax-free returns).",,,,,,,,,
30/12/2024 12:26,1,storekeeper,3,160000,240000,Salary,pension,Yes,no,,,78000,104500,57500,"182,500",,20,0.315068493,46–55,Liquid savings: Keep 6 months’ expenses in a savings account for emergencies.,Automate savings to avoid lifestyle inflation.,"Avoid risky investments and save instead (e.g., stock market due to volatility).",,,,,,,,,
30/12/2024 12:59,1,Sound Engineer,4,140000,180000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,38500,115500,26000,"154,000",,24,0.168831169, 56–65,Liquid savings: Keep 6 months’ expenses in a savings account for emergencies.,Automate savings to avoid lifestyle inflation.,"Avoid risky investments and save instead (e.g., stock market due to volatility).",,,,,,,,,
10/01/2025 19:43,1,Bookmaker,2,60000,260000,"Salary, Investments, Self-owned business",pension,Yes,no,,,43000,102000,115000,"145,000",,43,0.793103448,66–75,,,,,,,,,,,,
29/12/2024 17:00,0,,2,150000,190000,"Freelancing, Brand endorsements",pension,Yes,no,,,70000,65500,54500,"135,500",,36,0.402214022,76-90,,,,,,,,,,,,
30/12/2024 12:34,1,Technologist,4,130000,160000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,,,26500,96500,37000,"123,000",,36,0.300813008,,"More than 800 000  18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-90","More than 800 000  18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-91","More than 800 000  18-25, 26–35, 36–45, 46–55, 56–65, 66–75, 76-92",,,,,,,,,
30/12/2024 12:34,1,Junior Sales Representative,5,160000,200000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,,25000,174000,1000,"199,000",,25,0.005025126,18-25,Avoid luxury spending: Resist splurging on cars/ clothing,Automate savings to avoid lifestyle inflation.,Avoid impulsive spending on gadgets; prioritize small emergency funds.,,,,,,,,,
29/12/2024 17:12,1,software engineer,3,200000,200000,"Salary, Pension",pension,Yes,no,,,79000,116500,4500,"195,500",,22,0.023017903,26–35,Automate savings to avoid lifestyle inflation.,Avoid luxury spending: Resist splurging on cars/ clothing,Avoid impulsive spending on gadgets; prioritize small emergency funds.,,,,,,,,,
30/12/2024 12:34,1,Mechanical Engineer,2,170000,320000,"Salary, Commission",pension,Yes,no,,,62000,226000,32000,"288,000",,35,0.111111111,36–45,Automate savings to avoid lifestyle inflation.,"Avoid risky investments and save instead (e.g., stock market due to volatility).",Liquid savings: Keep 6 months’ expenses in a savings account for emergencies.,,,,,,,,,
30/12/2024 12:23,1,Financial Advisor,4,15000,160000,"Freelancing, Brand endorsements",pension,Yes,no,,,24000,104500,31500,"128,500",,47,0.245136187,46–55,Automate savings to avoid lifestyle inflation.,"Avoid risky investments and save instead (e.g., stock market due to volatility).",Liquid savings: Keep 6 months’ expenses in a savings account for emergencies.,,,,,,,,,
30/12/2024 12:30,1,Teacher,2,130000,170000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,,21000,76000,73000,"97,000",,24,0.75257732, 56–65,Liquid savings: Keep 6 months’ expenses in a savings account for emergencies.,Save and Set up a trust fund for children’s future.,"Avoid risky investments and save instead (e.g., stock market due to volatility).",,,,,,,,,
30/12/2024 12:34,1,small grocery shop,2,130000,150000,"Salary, Investments, Self-owned business",pension,Yes,no,,,27500,98000,24500,"125,500",,56,0.195219124,66–75,,,,,,,,,,,,
30/12/2024 12:48,1,Housewife,2,85000,280000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,No,no,,,74000,81000,125000,"155,000",,49,0.806451613,,,,,,,,,,,,,
30/12/2024 12:48,1,Environment specialist,3,150000,160000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,No,no,,,31500,90500,38000,"122,000",,38,0.31147541,,,,,,,,,,,,,
13/12/2024 15:28,0,Retired,6,380000,380000,"Salary, Pension",,Yes,no,,,100000,259500,20500,"359,500",,55,0.057023644,,,,,,,,,,,,,
,1,Cashier,1,40000,40000,Salary,,No,yes,7500,26500,,,6000,,"34,000",49,0.176470588,,,,,,,,,,,,,
10/01/2025 20:03,1,Sales executive,5,15000,220000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,78000,131000,11000,"209,000",,57,0.052631579,,,,,,,,,,,,,
04/01/2025 23:06,1,Designer,3,140000,220000,Salary,pension,Yes,no,,,33000,162000,25000,"195,000",,45,0.128205128,,,,,,,,,,,,,
04/01/2025 23:39,1,Procurement Specialist,2,130000,190000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,,64000,92500,33500,"156,500",,36,0.214057508,,,,,,,,,,,,,
,1,Deputy General Manager (Construction),3,80000,220000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,,54000,160500,5500,"214,500",,59,0.025641026,,,,,,,,,,,,,
30/12/2024 12:48,1,Key Account Manager,3,140000,210000,"Salary, Commission, Investments",,Yes,no,,,28000,159000,23000,"187,000",,30,0.122994652,,,,,,,,,,,,,
30/12/2024 12:59,1,Civil Engineer,2,150000,200000,"Salary, Investments, Self-owned business",pension,Yes,no,,,44000,152500,3500,"196,500",,43,0.017811705,,,,,,,,,,,,,
30/12/2024 12:59,1,Technical officer,4,140000,180000,"Salary, Investments, Rental income",pension,Yes,no,,,11000,159000,10000,"170,000",,23,0.058823529,,,,,,,,,,,,,
04/01/2025 22:47,1,E-Commerce Specialist,2,180000,300000,"Salary, Investments, Rental income",pension,Yes,no,,,20000,102000,178000,"122,000",,24,1.459016393,,,,,,,,,,,,,
10/01/2025 19:40,1,Tyre Fitter,4,180000,240000,"Salary, Investments, Freelancing",,Yes,no,,,17000,196000,27000,"213,000",,27,0.126760563,,,,,,,,,,,,,
29/12/2024 17:00,1,Vehicle Body Repairer,4,1500000,1500000,"Freelancing, Brand endorsements",pension,Yes,no,,,157000,311000,1032000,"468,000",,46,2.205128205,,,,,,,,,,,,,
30/12/2024 12:44,1,retail store,6,125000,160000,"Investments (fixed deposits, stocks etc), Salary",,Yes,no,,,13500,89000,57500,"102,500",,20,0.56097561,,,,,,,,,,,,,
30/12/2024 12:23,1,Workshop manager,3,140000,250000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,19000,190000,41000,"209,000",,39,0.196172249,,,,,,,,,,,,,
