,housing_day_1,utilities_day_1,food_groceries_day_1,healthcare_day_1,transportation_day_1,debt_repayment_day_1,insurance_day_1,childcare_family_day_1,education_day_1,lifestyle_and_discretionary_day_1,entertainment_day_1,personal_expenses_day_1,gifts_and_donations_day_1,Miscellaneous_day_1,,housing_day_2,utilities_day_2,food_groceries_day_2,healthcare_day_2,transportation_day_2,debt_repayment_day_2,insurance_day_2,childcare_family_day_2,education_day_2,lifestyle_and_discretionary_day_2,entertainment_day_2,personal_expenses_day_2,gifts_and_donations_day_2,Miscellaneous_day_2,,housing_day_3,utilities_day_3,food_groceries_day_3,healthcare_day_3,transportation_day_3,debt_repayment_day_3,insurance_day_3,childcare_family_day_3,education_day_3,lifestyle_and_discretionary_day_3,entertainment_day_3,personal_expenses_day_3,gifts_and_donations_day_3,Miscellaneous_day_3,,housing_day_4,utilities_day_4,food_groceries_day_4,healthcare_day_4,transportation_day_4,debt_repayment_day_4,insurance_day_4,childcare_family_day_4,education_day_4,lifestyle_and_discretionary_day_4,entertainment_day_4,personal_expenses_day_4,gifts_and_donations_day_4,Miscellaneous_day_4,,housing_day_5,utilities_day_5,food_groceries_day_5,healthcare_day_5,transportation_day_5,debt_repayment_day_5,insurance_day_5,childcare_family_day_5,education_day_5,lifestyle_and_discretionary_day_5,entertainment_day_5,personal_expenses_day_5,gifts_and_donations_day_5,Miscellaneous_day_5,,housing_day_6,utilities_day_6,food_groceries_day_6,healthcare_day_6,transportation_day_6,debt_repayment_day_6,insurance_day_6,childcare_family_day_6,education_day_6,lifestyle_and_discretionary_day_6,entertainment_day_6,personal_expenses_day_6,gifts_and_donations_day_6,Miscellaneous_day_6,,housing_day_7,utilities_day_7,food_groceries_day_7,healthcare_day_7,transportation_day_7,debt_repayment_day_7,insurance_day_7,childcare_family_day_7,education_day_7,lifestyle_and_discretionary_day_7,entertainment_day_7,personal_expenses_day_7,gifts_and_donations_day_7,Miscellaneous_day_7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
september week 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,,,,,,,,,,,,8000,85100
september week 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
september week 3,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,
september week 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8900,,,,,,,,,,,,,,,28000,,,,,,,,,,,,,,,,,,,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50900,
september week 5,,20500,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
october week 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7900,,,,,,,,,,,,7900,58300
october week 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
october week 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
october week 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000,,,,,25000,
october week 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23500,,,,,,,,,,,,,,,,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
november week 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28000,,,,,,,,,,,,28000,74620
november week 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
november week 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
november week 4,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4700,,,,,,,,,,,,5120,
november week 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27500,,,,,,,,,,,,,,,,,,,,,,,,,,,,41500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
december week 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34000,,,,,,,,,,,,34000,135000
december week 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
december week 3,,,4500,6000,2400,,,,,2500,,4000,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30700,
december week 4,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17600,
december week 5,,36700,,,,,,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
