Timestamp,Are you employed?,What is your job?,How many people are in your house?,What is your personal income?,What is your total household income?,What categories of income do you currently have?,If u said other please mention what it was,Do you have a vehicle/s?,Do you live alone and cover your own expenses?,"If you live alone, How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly","If you live alone, How much do you spend on basic needs monthly?",If you live with family How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly,If you live with family How much do you spend on basic needs monthly?,,Do you have any issues in handling your income and expenses? If so please mention. ,How much do you save monthly?,How much do you want to save monthly ( could be different from what you actually save),Age,savings_ratio,financial_priority,detailed_advice,,risk proxy return,Investment type
30/12/2024 12:44,1,Finance Manager,4,70000,"200,000","Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000","12,000","150,000",,No,50000,75000,59,0.7142857142857143,General Finance,Consult a financial advisor,,62.89521727,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 13:03,1,E-Commerce Manager,3,150000,"150,000","Salary, Investments",,Yes,no,,"90,000",14000,170000,,No,47000,300 000,27,0.31333333333333335,General Finance,Consult a financial advisor,,68.83189468,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
10/01/2025 19:40,1,Electrical Engineering Tech,2,200000,230000,"Salary, Investments, Rental income",pension,Yes,no,,"90,000",18000,150 000,,No,50000,40000,52,0.25,General Finance,Consult a financial advisor,,61.99281367,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
10/01/2025 19:40,1,Business Analyst,5,65000,140 000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,No,no,,"90,000","18,000",85 000,,No,40000,"70,000",43,0.6153846153846154,General Finance,Consult a financial advisor,,67.08573015,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
04/01/2025 22:47,1,senior graduate teacher,5,15000,120000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,"90,000",13000,"160,000",,No,45000,75000,59,3,General Finance,Consult a financial advisor,,64.8023579,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 13:03,1,retail store,4,15000,"180,000","Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,"90,000",10 000,150000,,No,50000,200 000,32,3.3333333333333335,General Finance,Consult a financial advisor,,69.75605911,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
04/01/2025 22:47,1,Structural design engineer,5,70000,240 000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000",15000,"75,000",,No,45000,70000,32,0.6428571428571429,General Finance,Consult a financial advisor,,60.81190123,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
30/12/2024 12:48,1,Teacher,4,125000,260000,"Salary, Investments, Self-owned business",,Yes,no,,"90,000",12 000,90 000,,No,50000,90 000,55,0.4,General Finance,Consult a financial advisor,,63.05778957,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
10/01/2025 19:40,1,Internal Auditor,3,160000,500000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000",14000,"150,000",,No,60000,85000,32,0.375,General Finance,Consult a financial advisor,,61.67779433,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver"
04/01/2025 22:47,1,University Lecturer,4,120000,40 000,"Freelancing, Brand endorsements",pension,Yes,no,,15000,"18,000",,,No,40000,75000,28,0.3333333333333333,General Finance,Consult a financial advisor,,68.18194536,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 13:03,1,Draftsperson,4,160000,210000,"Salary, Freelancing",pension,Yes,no,,,15 000,125000,,No,5000,"250,000",53,0.03125,General Finance,Consult a financial advisor,,56.72380655,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:23,1,Mechatronics Technician,2,120000,200 000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000",100000,150000,,No,5000,"90,000",49,0.041666666666666664,General Finance,Consult a financial advisor,,44.51499639,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
27/12/2024 20:51,1,Procurement Specialist,2,130000,240 000,Freelancing,pension,Yes,no,,"90,000","10,000",180000,,No,70000,"90,000",52,0.5384615384615384,General Finance,Consult a financial advisor,,60.31177557,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
10/01/2025 19:40,0,,2,120000,"250,000","Freelancing, Brand endorsements",,Yes,no,,"90,000",10 000,75000,,No,50000,"8,000",30,0.4166666666666667,General Finance,Consult a financial advisor,,63.7543276,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
04/01/2025 23:06,1,Dancer,6,180000,1800000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000","15,000","180,000",,No,50000,65000,44,0.2777777777777778,General Finance,Consult a financial advisor,,61.15768846,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
14/12/2024 15:47,1,Technical officer,3,160000,"160,000",Salary,,Yes,no,,"90,000",50000,150000,,No,40000,"30,000",49,0.25,General Finance,Consult a financial advisor,,58.26270889,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:26,1,storekeeper,3,160000,240 000,Salary,pension,Yes,no,,"90,000",13000,,,No,50000,50 000,20,0.3125,General Finance,Consult a financial advisor,,70.48801635,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:59,1,Sound Engineer,4,140000,"180,000","Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000",13000,140000,,No,5000,65000,24,0.035714286,General Finance,Consult a financial advisor,,63.10696087,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits"
10/01/2025 19:43,1,Bookmaker,2,60000,260000,"Salary, Investments, Self-owned business",pension,Yes,no,,"90,000",12 000,"150,000",,No,90000,80 000,43,1.5,General Finance,Consult a financial advisor,,69.50558605,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
29/12/2024 17:00,0,,2,150000,190000,"Freelancing, Brand endorsements",pension,Yes,no,,"90,000",10 000,150000,,No,50000,300000,36,0.3333333333333333,General Finance,Consult a financial advisor,,63.23469792,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
30/12/2024 12:34,1,Technologist,4,130000,"160,000","Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,,"90,000",50 000,150000,,No,35000,"8,000",36,0.2692307692307692,General Finance,Consult a financial advisor,,65.0569876,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
30/12/2024 12:34,1,Junior Sales Representative,5,160000,"200,000","Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,"90,000",15000,85000,,No,5000,"60,000",25,0.03125,General Finance,Consult a financial advisor,,58.79439478,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits"
29/12/2024 17:12,1,software engineer,3,200000,200000,"Salary, Pension",pension,Yes,no,,"90,000","15,000",120000,,No,35000,60 000,22,0.175,General Finance,Consult a financial advisor,,66.61620192,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits"
30/12/2024 12:34,1,Mechanical Engineer,2,170000,150 000,"Salary, Commission",pension,Yes,no,,"90,000",18 000,140000,,No,65000,75000,35,0.38235294117647056,General Finance,Consult a financial advisor,,66.00518892,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
30/12/2024 12:23,1,Financial Advisor,4,15000,160000,"Freelancing, Brand endorsements",pension,Yes,no,,"90,000",10 000,"100,000",,No,50000,"60,000",47,3.3333333333333335,General Finance,Consult a financial advisor,,69.75605911,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:30,1,Teacher,2,130000,170000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,"90,000",20000,"160,000",,No,55000,35 000,24,0.4230769230769231,General Finance,Consult a financial advisor,,68.7084865,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:34,1,small grocery shop,2,130000,150 000,"Salary, Investments, Self-owned business",pension,Yes,no,,"90,000",10 000,150 000,,No,400000,500000,56,3.076923076923077,General Finance,Consult a financial advisor,,68.26343061,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:48,1,Housewife,2,85000,"280,000","Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,No,no,,"90,000","18,000",180 000,,No,40000,"60,000",49,0.47058823529411764,General Finance,Consult a financial advisor,,66.40776003,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:48,1,Environment specialist,3,150000,160 000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,No,no,,"90,000","18,000",140 000,,No,47000,70 000,38,0.31333333333333335,General Finance,Consult a financial advisor,,65.47895351,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
13/12/2024 15:28,0,Retired,6,380000,"380,000","Salary, Pension",,Yes,no,,"90,000",10 000,85 000,,yes,15000,70000,55,0.039473684210526314,General Finance,Consult a financial advisor,,57.85312538,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
,1,Cashier,1,40000,40000,Salary,,No,yes,7500,25 000,,,,Yes,5000,15 000,49,0.125,General Finance,Consult a financial advisor,,62.51342834,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
10/01/2025 20:03,1,Sales executive,5,15000,"220,000","Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000",15000,"160,000",,No,25000,250000,57,1.6666666666666667,General Finance,Consult a financial advisor,,65.11861195,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
04/01/2025 23:06,1,Designer,3,140000,80 000,Salary,pension,Yes,no,,"90,000",12 000,"150,000",,No,5000,90 000,45,0.035714286,General Finance,Consult a financial advisor,,59.96410372,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver"
04/01/2025 23:39,1,Procurement Specialist,2,130000,190000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,"90,000",50 000,180 000,,No,60000,65000,36,0.46153846153846156,General Finance,Consult a financial advisor,,66.43016208,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
,1,Deputy General Manager (Construction),3,80000,"220,000","Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,40000,12000,"220,000",,No,25000,60000,59,0.3125,General Finance,Consult a financial advisor,,61.21836153,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:48,1,Key Account Manager,3,140000,210000,"Salary, Commission, Investments",,Yes,no,,"90,000",10 000,"150,000",,No,50000,"70,000",30,0.35714285714285715,General Finance,Consult a financial advisor,,65.79327019,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
30/12/2024 12:59,1,Civil Engineer,2,150000,"200,000","Salary, Investments, Self-owned business",pension,Yes,no,,"90,000",10 000,180 000,,No,5000,300000,43,0.033333333,General Finance,Consult a financial advisor,,59.83927493,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver"
30/12/2024 12:59,1,Technical officer,4,140000,180 000,"Salary, Investments, Rental income",pension,Yes,no,,,10 000,"180,000",,No,120000,70000,23,0.8571428571428571,General Finance,Consult a financial advisor,,73.00972853,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
04/01/2025 22:47,1,E-Commerce Specialist,2,180000,"300,000","Salary, Investments, Rental income",pension,Yes,no,,"90,000","18,000","140,000",,No,60000,"70,000",24,0.3333333333333333,General Finance,Consult a financial advisor,,68.1049284,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
10/01/2025 19:40,1,Tyre Fitter,4,180000,"240,000","Salary, Investments, Freelancing",,Yes,no,,"90,000",30000,90000,,No,5000,"8,000",27,0.027777777777777776,General Finance,Consult a financial advisor,,57.8495846,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
29/12/2024 17:00,1,Vehicle Body Repairer,4,1500000,"1,500,000","Freelancing, Brand endorsements",pension,Yes,no,,"90,000",10 000,"140,000",,No,60000,25000,46,0.04,General Finance,Consult a financial advisor,,59.20962271,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:44,1,retail store,6,125000,160000,"Investments (fixed deposits, stocks etc), Salary",,Yes,no,,"90,000",15000,180000,,No,47000,"25,000",20,0.376,General Finance,Consult a financial advisor,,69.232959,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:23,1,Workshop manager,3,140000,250000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000",12 000,160000,,No,50000,"85,000",39,0.35714285714285715,General Finance,Consult a financial advisor,,63.39327019,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
05/01/2025 00:09,1,Postmaster,5,130000,170000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000","30,000","180,000",,No,35000,200 000,48,0.2692307692307692,General Finance,Consult a financial advisor,,59.32365427,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
