Timestamp,Are you employed?,What is your job?,How many people are in your house?,What is your personal income?,What is your total household income?,What categories of income do you currently have?,If u said other please mention what it was,Do you have a vehicle/s?,Do you live alone and cover your own expenses?,"If you live alone, How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly","If you live alone, How much do you spend on basic needs monthly?",If you live with family How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly,If you live with family How much do you spend on basic needs monthly?,Do you have any issues in handling your income and expenses? If so please mention. ,How much do you save monthly?,How much do you want to save monthly ( could be different from what you actually save)
25/12/2024 14:15:41,Yes,Resident Engineer,Four,350000,600000,Salary,,Yes,Yes,,,25000,240000,No,100000,200000
25/12/2024 14:20:11,Yes,Office Manager,Five,160000,200000,Salary,,Yes,No,,,10000,120000,No,50000,75000
25/12/2024 14:22:28,Yes,Store keeper,Three,90000,140000,Salary,,Yes,No,,,,120000,No,10000,25000
27/12/2024 11:09:40,Yes,storekeeper,4,60000,75000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,5000,,,60000,yes,10000,20000
27/12/2024 11:14:50,Yes,small grocery shop,4,15000,75000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,5000,60000,yes,10000,20000
27/12/2024 11:19:39,Yes,retail store,4,50000,110000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,10000,70000,yes,30000,40000
27/12/2024 11:23:10,Yes,Chairman ((Government),Four,140000,900000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,25000,225000,No,100000,150000
27/12/2024 11:27:10,Yes,Civil Engineer,Two,300000,520000,Salary,,Yes,No,,,30000,160000,No,125000,200000
27/12/2024 11:28:40,Yes,software engineer,3,1000000,1300000,Salary,,Yes,No,,,100000,200000,no,1000000,1050000
27/12/2024 11:29:26,Yes,Quantity surveyor,Four,375000,675000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,35000,240000,No,300000,300000
27/12/2024 11:36:19,Yes,assistant ,4,60000,500000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,110000,250000,yes,200000,250000
27/12/2024 11:36:21,Yes,Planning Engineer,Five,350000,750000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,25000,180000,No,500000,500000
27/12/2024 11:41:53,No,Business,Four,1500000,1800000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,Yes,,,50000,350000,No,1000000,1000000
27/12/2024 11:58:33,Yes,Draftsman,Four,70000,140000,Salary,,No,No,,,7000,70000,No,40000,60000
27/12/2024 12:05:27,Yes,Nurse,Four,120000,700000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,30000,160000,No,400000,400000
27/12/2024 12:10:47,No,Retired production manager,Four,150000,450000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,15000,140000,No,Zero,50000
27/12/2024 12:15:02,Yes,Technical officer,Four,130000,200000,Salary,,Yes,No,,,10000,80000,Yes,25000,40000
27/12/2024 12:19:08,Yes,Office manager,Five,160000,200000,Salary,,Yes,No,,,20000,120000,No,40000,40000
27/12/2024 19:41:26,Yes,Accounts assistant,Five,90000,200000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,15000,120000,No,50000,75000
27/12/2024 19:43:44,Yes,Lawer,Two,300000,300000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,15000,80000,No,200000,200000
27/12/2024 19:50:49,No,Businessman,Four,180000,230000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,No,No,,,10000,120000,No,50000,80000
27/12/2024 19:58:10,Yes,Banking officer,Four,170000,270000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,25000,160000,No,60000,100000
27/12/2024 20:23:24,Yes,Sales representative,Four,180000,280000,Salary,,Yes,No,,,20000,160000,No,40000,65000
27/12/2024 20:38:46,Yes,Material technician,Three,120000,190000,Salary,,Yes,No,,,12000,125000,No,15000,25000
27/12/2024 20:41:59,Yes,Accountant,Four,200000,250000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,15000,160000,Yes,40000,50000
27/12/2024 20:51:36,Yes,Forman (Government),Three,80000,190000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,12000,110000,No,50000,75000
27/12/2024 20:54:54,Yes,Supervisor,Four,80000,150000,Salary,,No,No,,,5000,100000,Yes,20000,30000
27/12/2024 20:57:38,No,,Three,120000,180000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,No,No,,,8000,70000,Yes,40000,40000
29/12/2024 17:00:56,No,none,1,80 000,80 000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,Yes,15 000,25 000,,,yes,40 000,50 000
29/12/2024 17:12:56,No,unemployed,2,50 000,350 000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,20 000,50 000,no,280 000,280 000
29/12/2024 17:15:36,Yes,software engineer,2,300 000,350 000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,20 000,50 000,no,280 000,280 000
30/12/2024 12:18:32,Yes,Sales executive,Four,160000,200000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,14000,130000,No,30000,50000
30/12/2024 12:23:07,Yes,Accountant,Five,180000,210000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,18000,140000,No,35000,50000
30/12/2024 12:26:16,Yes,Cleark (Government),Three,60000,140000,Salary,,No,No,,,8000,65000,No,20000,20000
30/12/2024 12:30:37,Yes,Technical officer,Three,180000,230000,Salary,,Yes,No,,,16000,150000,No,50000,50000
30/12/2024 12:34:46,Yes,Assistant engineer,Four,200000,280000,Salary,,Yes,No,,,18000,170000,No,40000,60000
30/12/2024 12:37:56,Yes,Structural design engineer,Five,350000,400000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,25000,160000,No,150000,150000
30/12/2024 12:44:07,Yes,Accounts assistant,Three,90000,160000,Salary,,No,No,,,7000,60000,No,30000,30000
30/12/2024 12:48:25,Yes,General manager,Five,380000,380000,Salary,,Yes,No,,,14000,160000,No,140000,"140,000"
30/12/2024 12:59:20,Yes,Banking officer,Three,170000,210000,"Investments (fixed deposits, stocks etc), Salary",,Yes,Yes,8000,60000,,,No,60000,75000
30/12/2024 13:03:19,Yes,Store keeper,Four,70000,120000,Salary,,No,No,,,5000,70000,Yes,20000,20000
04/01/2025 22:30:07,Yes,Sales representative,Three ,140000,200000,Salary,,Yes,No,,,12000,90000,No,70000,70000
04/01/2025 22:47:22,Yes,Assistant Resident Engineer,Five,270000,370000,Salary,,Yes,No,,,18000,160000,No,150000,150000
04/01/2025 23:06:59,Yes,Director engineering,Six,500000,500000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,35000,250000,No,180000,200000
04/01/2025 23:10:54,No,Business,Four,160000,300000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,14000,150000,No,100000,100000
04/01/2025 23:39:07,Yes,Mechanical Engineer,Five,400000,500000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,25000,280000,No,100000,150000
04/01/2025 23:46:15,No,,Two,180000,240000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,8000,100000,No,70000,85000
04/01/2025 23:53:54,Yes,Accounts assistant,Four,70000,170000,Salary,,No,No,,,8000,100000,Yes,40000,40000
05/01/2025 00:09:35,Yes,Teacher,Three,180000,300000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,15000,130000,No,50000,50000
05/01/2025 00:18:44,Yes,Deputy General Manager (Construction),Five,350000,450000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,20000,190000,Noo,100000,100000
05/01/2025 00:25:59,Yes,Fashion Designer,Four,200000,350000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,Yes,30000,75000,,,No,75000,100000
10/01/2025 19:40:59,No,Business,Six,300000,400000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,20000,230000,No,80000,100000
10/01/2025 19:43:50,Yes,Draftsperson,Four,80000,150000,Salary,,No,No,,,70000,90000,Yes,20000,30000
10/01/2025 19:48:03,Yes,Secretary,Two,60000,160000,Salary,,Yes,No,,,12000,80000,No,35000,40000
10/01/2025 19:52:13,Yes,Material technician,Four,150000,250000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,15000,160000,No,25000,40000
10/01/2025 19:54:32,No,Retired,Two,70000,130000,Salary,,No,No,,,9000,80000,No,10000,10000
10/01/2025 20:03:10,Yes,Assistant quantity surveyor,Three,70000,150000,Salary,,No,No,,,10000,85000,Yes,30000,30000
10/01/2025 20:10:02,Yes,Management assistant,Four,90000,500000,Salary,,Yes,No,,,15000,40000,No,30000,40000
10/01/2025 20:14:27,Yes,Workshop manager,Five,140000,280000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,10000,170000,Yes,60000,75000
10/01/2025 20:20:16,Yes,Teacher,Three,120000,260000,Salary,,No,No,,,9000,90000,No,50000,50000
10/01/2025 20:23:37,Yes,Technical officer,Five,130000,200000,Salary,,Yes,No,,,8000,120000,Yes,40000,40000
26/01/2025 10:14:35,Yes,merchandiser,1,80 000,80 000,Salary,,No,Yes,5000,40 000,,,no,35 000,40 000
