Timestamp,Are you employed?,What is your job?,How many people are in your house?,What is your personal income?,What is your total household income?,What categories of income do you currently have?,If u said other please mention what it was,Do you have a vehicle/s?,Do you live alone and cover your own expenses?,"If you live alone, How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly","If you live alone, How much do you spend on basic needs monthly?",If you live with family How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly,If you live with family How much do you spend on basic needs monthly?,Do you have any issues in handling your income and expenses? If so please mention. ,How much do you save monthly?,How much do you want to save monthly ( could be different from what you actually save)
27/12/2024 11:28:40,Yes,software engineer,3,1000000,1300000,Salary,,Yes,No,,,100000,200000,no,1000000,1050000
27/12/2024 11:29:26,Yes,Quantity surveyor,4,375000,675000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,35000,240000,No,300000,300000
27/12/2024 11:36:19,Yes,assistant ,4,60000,500000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,110000,250000,yes,200000,250000
27/12/2024 11:36:21,Yes,Planning Engineer,5,350000,750000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,25000,180000,No,500000,500000
27/12/2024 11:41:53,No,Business,4,1500000,1800000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,Yes,,,50000,350000,No,1000000,1000000
27/12/2024 11:58:33,Yes,Draftsman,4,70000,140000,Salary,,No,No,,,7000,70000,No,40000,60000
27/12/2024 12:05:27,Yes,Nurse,4,120000,700000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,30000,160000,No,400000,400000
27/12/2024 12:10:47,No,Retired production manager,4,150000,450000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,15000,140000,No,Zero,50000
27/12/2024 12:15:02,Yes,Technical officer,4,130000,200000,Salary,,Yes,No,,,10000,80000,Yes,25000,40000
27/12/2024 12:19:08,Yes,Office manager,5,160000,200000,Salary,,Yes,No,,,20000,120000,No,40000,40000
27/12/2024 19:41:26,Yes,Accounts assistant,5,90000,200000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,15000,120000,No,50000,75000
27/12/2024 19:43:44,Yes,Lawer,2,300000,300000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,15000,80000,No,200000,200000
27/12/2024 19:50:49,No,Businessman,4,180000,230000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,No,No,,,10000,120000,No,50000,80000
27/12/2024 19:58:10,Yes,Banking officer,4,170000,270000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,25000,160000,No,60000,100000
27/12/2024 20:23:24,Yes,Sales representative,4,180000,280000,Salary,,Yes,No,,,20000,160000,No,40000,65000
27/12/2024 20:38:46,Yes,Material technician,3,120000,190000,Salary,,Yes,No,,,12000,125000,No,15000,25000
27/12/2024 20:41:59,Yes,Accountant,4,200000,250000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,15000,160000,Yes,40000,50000
27/12/2024 20:51:36,Yes,Forman (Government),3,80000,190000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,12000,110000,No,50000,75000
27/12/2024 20:54:54,Yes,Supervisor,4,80000,150000,Salary,,No,No,,,5000,100000,Yes,20000,30000
27/12/2024 20:57:38,No,,3,120000,180000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,No,No,,,8000,70000,Yes,40000,40000
29/12/2024 17:00:56,No,none,1,80 000,80 000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,Yes,15 000,25 000,,,yes,40 000,50 000
29/12/2024 17:12:56,No,unemployed,2,50 000,350 000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,20 000,50 000,no,280 000,280 000
29/12/2024 17:15:36,Yes,software engineer,2,300 000,350 000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,20 000,50 000,no,280 000,280 000
30/12/2024 12:18:32,Yes,Sales executive,4,160000,200000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,14000,130000,No,30000,50000
30/12/2024 12:23:07,Yes,Accountant,5,180000,210000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,18000,140000,No,35000,50000
30/12/2024 12:26:16,Yes,Cleark (Government),3,60000,140000,Salary,,No,No,,,8000,65000,No,20000,20000
30/12/2024 12:30:37,Yes,Technical officer,3,180000,230000,Salary,,Yes,No,,,16000,150000,No,50000,50000
30/12/2024 12:34:46,Yes,Assistant engineer,4,200000,280000,Salary,,Yes,No,,,18000,170000,No,40000,60000
30/12/2024 12:37:56,Yes,Structural design engineer,5,350000,400000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,25000,160000,No,150000,150000
30/12/2024 12:44:07,Yes,Accounts assistant,3,90000,160000,Salary,,No,No,,,7000,60000,No,30000,30000
30/12/2024 12:48:25,Yes,General manager,5,380000,380000,Salary,,Yes,No,,,14000,160000,No,140000,"140,000"
30/12/2024 12:59:20,Yes,Banking officer,3,170000,210000,"Investments (fixed deposits, stocks etc), Salary",,Yes,Yes,8000,60000,,,No,60000,75000
30/12/2024 13:03:19,Yes,Store keeper,4,70000,120000,Salary,,No,No,,,5000,70000,Yes,20000,20000
4/1/2025 22:30,Yes,Sales representative,3,140000,200000,Salary,,Yes,No,,,12000,90000,No,70000,70000
4/1/2025 22:47,Yes,Assistant Resident Engineer,5,270000,370000,Salary,,Yes,No,,,18000,160000,No,150000,150000
4/1/2025 23:06,Yes,Director engineering,6,500000,500000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,35000,250000,No,180000,200000
4/1/2025 23:10,No,Business,4,160000,300000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,14000,150000,No,100000,100000
4/1/2025 23:39,Yes,Mechanical Engineer,5,400000,500000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,25000,280000,No,100000,150000
4/1/2025 23:46,No,,2,180000,240000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,8000,100000,No,70000,85000
4/1/2025 23:53,Yes,Accounts assistant,4,70000,170000,Salary,,No,No,,,8000,100000,Yes,40000,40000
5/1/2025 0:09,Yes,Teacher,3,180000,300000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,15000,130000,No,50000,50000
5/1/2025 0:18,Yes,Deputy General Manager (Construction),5,350000,450000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,20000,190000,Noo,100000,100000
5/1/2025 0:25,Yes,Fashion Designer,4,200000,350000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,Yes,30000,75000,,,No,75000,100000
10/1/2025 19:40,No,Business,6,300000,400000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,20000,230000,No,80000,100000
10/1/2025 19:43,Yes,Draftsperson,4,80000,150000,Salary,,No,No,,,70000,90000,Yes,20000,30000
10/1/2025 19:48,Yes,Secretary,2,60000,160000,Salary,,Yes,No,,,12000,80000,No,35000,40000
10/1/2025 19:52,Yes,Material technician,4,150000,250000,"Investments (fixed deposits, stocks etc), Salary",,Yes,No,,,15000,160000,No,25000,40000
10/1/2025 19:54,No,Retired,2,70000,130000,Salary,,No,No,,,9000,80000,No,10000,10000
10/1/2025 20:03,Yes,Assistant quantity surveyor,3,70000,150000,Salary,,No,No,,,10000,85000,Yes,30000,30000
10/1/2025 20:10,Yes,Management assistant,4,90000,500000,Salary,,Yes,No,,,15000,40000,No,30000,40000
10/1/2025 20:14,Yes,Workshop manager,5,140000,280000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,No,,,10000,170000,Yes,60000,75000
10/1/2025 20:20,Yes,Teacher,3,120000,260000,Salary,,No,No,,,9000,90000,No,50000,50000
10/1/2025 20:23,Yes,Technical officer,5,130000,200000,Salary,,Yes,No,,,8000,120000,Yes,40000,40000
26/01/2025 10:14:35,Yes,merchandiser,1,80 000,80 000,Salary,,No,Yes,5000,40 000,,,no,35 000,40 000
